query_partner,act_id,date_celebration,year,subject,is_principal
Indonésia,6275,2008-11-18,2008,"Agricultura, Pecuária e Pesca",True
Indonésia,6276,2008-11-18,2008,"Direito, Justiça & Segurança Pública",True
Indonésia,6277,2008-11-18,2008,Cooperação e Desenvolvimento,True
Indonésia,6167,2008-07-12,2008,Consulares e Migratórios,True
Indonésia,6168,2008-07-12,2008,Educação e Cultura,True
Indonésia,6169,2008-07-12,2008,Energia e Recursos Estratégicos,True
Indonésia,5922,2007-08-22,2007,Cooperação e Desenvolvimento,True
Turquia,7198,2011-10-07,2011,"Direito, Justiça & Segurança Pública",True
Turquia,7199,2011-10-07,2011,"Direito, Justiça & Segurança Pública",True
Turquia,7033,2010-12-16,2010,"Economia, Finanças e Tributos",True
Turquia,6984,2010-10-21,2010,Relações Diplomáticas e Consulares,True
Turquia,6782,2010-05-27,2010,"Economia, Finanças e Tributos",True
Turquia,6783,2010-05-27,2010,Educação e Cultura,True
Turquia,6784,2010-05-27,2010,Cooperação e Desenvolvimento,True
Turquia,5541,2006-01-19,2006,Cooperação e Desenvolvimento,True
Turquia,5542,2006-01-19,2006,Relações Diplomáticas e Consulares,True
Turquia,4997,2003-08-14,2003,Defesa e Segurança,True
Turquia,4753,2001-08-20,2001,Consulares e Migratórios,True
Uruguai,7511,2014-01-29,2014,"Direito, Justiça & Segurança Pública",True
Uruguai,7489,2013-11-07,2013,"Fronteira, Infraestrutura e Integração Regional",True
Uruguai,7456,2013-07-09,2013,Cooperação e Desenvolvimento,True
Uruguai,7457,2013-07-09,2013,Consulares e Migratórios,True
Uruguai,7375,2012-10-23,2012,"Economia, Finanças e Tributos",True
Uruguai,7121,2011-05-30,2011,"Ciência, Tecnologia e Inovação",True
Uruguai,7122,2011-05-30,2011,Defesa e Segurança,True
Uruguai,7123,2011-05-30,2011,Cooperação e Desenvolvimento,True
Uruguai,7124,2011-05-30,2011,Cooperação e Desenvolvimento,True
Uruguai,7125,2011-05-30,2011,Cooperação e Desenvolvimento,True
Uruguai,7126,2011-05-30,2011,Cooperação e Desenvolvimento,True
Uruguai,7127,2011-05-30,2011,Cooperação e Desenvolvimento,True
Uruguai,7128,2011-05-30,2011,Cooperação e Desenvolvimento,True
Uruguai,7129,2011-05-30,2011,Cooperação e Desenvolvimento,True
Uruguai,7130,2011-05-30,2011,Cooperação e Desenvolvimento,True
Uruguai,7131,2011-05-30,2011,Cooperação e Desenvolvimento,True
Uruguai,7132,2011-05-30,2011,"Trabalho, Saúde e Previdência",True
Uruguai,7021,2010-12-03,2010,Meio Ambiente e Sustentabilidade,True
Uruguai,7022,2010-12-03,2010,"Direito, Justiça & Segurança Pública",True
Uruguai,7023,2010-12-03,2010,"Direito, Justiça & Segurança Pública",True
Uruguai,7024,2010-12-03,2010,"Trabalho, Saúde e Previdência",True
Uruguai,7025,2010-12-03,2010,Cooperação e Desenvolvimento,True
Uruguai,7026,2010-12-03,2010,Cooperação e Desenvolvimento,True
Uruguai,6895,2010-07-30,2010,Serviços e Transporte,True
Uruguai,6896,2010-07-30,2010,Cooperação e Desenvolvimento,True
Uruguai,6897,2010-07-30,2010,Defesa e Segurança,True
Uruguai,6376,2009-05-25,2009,"Trabalho, Saúde e Previdência",True
Uruguai,6377,2009-05-25,2009,Meio Ambiente e Sustentabilidade,True
Uruguai,6378,2009-05-25,2009,"Trabalho, Saúde e Previdência",True
Uruguai,6326,2009-03-10,2009,Cooperação e Desenvolvimento,True
Uruguai,6327,2009-03-10,2009,Serviços e Transporte,True
Uruguai,6328,2009-03-10,2009,Cooperação e Desenvolvimento,True
Uruguai,6286,2008-11-28,2008,"Trabalho, Saúde e Previdência",True
Uruguai,6156,2008-07-04,2008,Cooperação e Desenvolvimento,True
Uruguai,6120,2008-05-30,2008,"Trabalho, Saúde e Previdência",True
Uruguai,6121,2008-05-30,2008,Energia e Recursos Estratégicos,True
Uruguai,6122,2008-05-30,2008,"Trabalho, Saúde e Previdência",True
Uruguai,6104,2008-05-20,2008,"Fronteira, Infraestrutura e Integração Regional",True
Uruguai,5878,2007-07-24,2007,"Trabalho, Saúde e Previdência",True
Uruguai,5765,2007-02-26,2007,Energia e Recursos Estratégicos,True
Uruguai,5766,2007-02-26,2007,Comércio Internacional e Investimentos,True
Uruguai,5767,2007-02-26,2007,"Fronteira, Infraestrutura e Integração Regional",True
Uruguai,5768,2007-02-26,2007,"Fronteira, Infraestrutura e Integração Regional",True
Uruguai,5710,2006-11-22,2006,Educação e Cultura,True
Uruguai,5711,2006-11-22,2006,"Agricultura, Pecuária e Pesca",True
Uruguai,5712,2006-11-22,2006,Meio Ambiente e Sustentabilidade,True
Uruguai,5713,2006-11-22,2006,Cooperação e Desenvolvimento,True
Uruguai,5714,2006-11-22,2006,Meio Ambiente e Sustentabilidade,True
Uruguai,5715,2006-11-22,2006,"Trabalho, Saúde e Previdência",True
Uruguai,5716,2006-11-22,2006,Meio Ambiente e Sustentabilidade,True
Uruguai,5717,2006-11-22,2006,"Trabalho, Saúde e Previdência",True
Uruguai,5718,2006-11-22,2006,"Agricultura, Pecuária e Pesca",True
Uruguai,5665,2006-08-29,2006,"Direito, Justiça & Segurança Pública",True
Uruguai,5617,2006-05-19,2006,"Direito, Justiça & Segurança Pública",True
