sample_id,sample_label,anchor_id,anchor_label,anchor_type,year,period,n_resolutions,mean_brazil_china_agreement,mean_brazil_anchor_agreement,mean_relative_agreement_china_minus_anchor,mean_brazil_china_similarity,mean_brazil_anchor_similarity,mean_relative_similarity_china_minus_anchor,mean_anchor_valid_members
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2010,Post-2009,22,0.8181818181818182,0.8636363636363636,-0.045454545454545456,0.8636363636363635,0.9318181818181819,-0.06818181818181822,115.95454545454545
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2011,Post-2009,24,0.7916666666666666,0.9583333333333334,-0.16666666666666666,0.875,1,-0.125,118.70833333333333
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2012,Post-2009,19,0.8421052631578947,0.9473684210526315,-0.10526315789473684,0.8947368421052632,0.9736842105263158,-0.07894736842105261,119.94736842105263
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,india,India,individual,2005,Pre-2009,20,0.75,0.65,0.1,0.8,0.8,0,1
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,india,India,individual,2006,Pre-2009,26,0.6538461538461539,0.6538461538461539,0,0.7692307692307693,0.8076923076923077,-0.03846153846153847,1
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,india,India,individual,2007,Pre-2009,25,0.72,0.76,-0.04,0.8200000000000001,0.8600000000000001,-0.04,1
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,india,India,individual,2008,Pre-2009,24,0.7083333333333334,0.7916666666666666,-0.08333333333333333,0.8333333333333334,0.875,-0.041666666666666664,1
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,india,India,individual,2009,Post-2009,22,0.7727272727272727,0.8636363636363636,-0.09090909090909091,0.8863636363636364,0.9318181818181818,-0.04545454545454545,1
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,india,India,individual,2010,Post-2009,22,0.8181818181818182,0.9545454545454546,-0.13636363636363635,0.8636363636363635,0.9772727272727273,-0.11363636363636367,1
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,india,India,individual,2011,Post-2009,24,0.7916666666666666,0.7916666666666666,0,0.875,0.8958333333333334,-0.020833333333333336,1
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,india,India,individual,2012,Post-2009,19,0.8421052631578947,0.8421052631578947,0,0.8947368421052632,0.9210526315789473,-0.02631578947368422,1
