iso3c,treated_unit,first_treated_year,n_years,cor_bsv_dm,mean_abs_diff,mean_bsv_pre,mean_dm_pre,mean_bsv_treated,mean_dm_treated,within_change_bsv,within_change_dm
LTU,FALSE,NA,29,0.8145763515781144,0.2574262547596215,1.9184000586206897,2.136256900721553,NA,NA,NA,NA
MNE,FALSE,NA,15,0.3390554556771257,0.2554660953096814,1.53618006,1.7916461553096814,NA,NA,NA,NA
BOL,FALSE,NA,31,0.7069189118168714,0.2544680183125793,0.6891408120322581,0.6703170177570076,NA,NA,NA,NA
AND,FALSE,NA,28,0.9040541470171372,0.2533270937049152,1.7832789678571428,1.9940319880605217,NA,NA,NA,NA
CAN,FALSE,NA,31,0.7678348905063077,0.2527657260656424,2.199916641935484,2.4076037316534005,NA,NA,NA,NA
POL,FALSE,NA,31,0.837439664793067,0.25254179213999134,1.9224599,2.1260789393560047,NA,NA,NA,NA
GRD,FALSE,NA,31,0.7508639265887953,0.25164163361108455,0.4906521519354839,0.5960769115313848,NA,NA,NA,NA
ESP,FALSE,NA,31,0.8495823204694377,0.2514086451263241,1.7926328032258065,2.005122491214334,NA,NA,NA,NA
MHL,FALSE,NA,30,0.913779996370629,0.2507190851121735,1.9882485333333333,2.1936311528193477,NA,NA,NA,NA
EST,FALSE,NA,29,0.8070541049202793,0.25050853978697807,1.8907779172413792,2.1113089138188323,NA,NA,NA,NA
MKD,FALSE,NA,28,0.7962590045130837,0.2504627274478053,1.7257745142857142,1.943498248897095,NA,NA,NA,NA
SVN,FALSE,NA,29,0.8364458487174959,0.25022769919044496,1.8454796137931035,2.059359317059431,NA,NA,NA,NA
DEU,FALSE,NA,31,0.8726893605375479,0.25017109077010397,2.004396951612903,2.209181560734261,NA,NA,NA,NA
PRT,FALSE,NA,31,0.880614154662836,0.24933596249902137,1.8373221967741935,2.0499427677910806,NA,NA,NA,NA
BGR,FALSE,NA,31,0.8686183460901459,0.2476322756106772,1.8598733193548387,2.0671097836952783,NA,NA,NA,NA
NLD,FALSE,NA,31,0.9034949797050431,0.24740982505195402,1.9911204483870968,2.2002339998307283,NA,NA,NA,NA
ROU,FALSE,NA,31,0.8589153372985965,0.24733723895379373,1.8774661774193548,2.0798049441408284,NA,NA,NA,NA
DNK,FALSE,NA,31,0.8494720813336465,0.24711971823387907,1.9155482322580646,2.1285296467470762,NA,NA,NA,NA
ALB,FALSE,NA,31,0.848993393569735,0.2458678824483411,1.8011913741935484,2.002579451431848,NA,NA,NA,NA
FRA,FALSE,NA,31,0.8967861556051855,0.24425047214939064,2.352596190322581,2.534085819333059,NA,NA,NA,NA
HUN,FALSE,NA,31,0.865161957928219,0.24337333401139452,1.9380155419354839,2.138165213322835,NA,NA,NA,NA
IRL,FALSE,NA,31,0.8714421333877268,0.24331348971680866,1.625766964516129,1.8274855951664781,NA,NA,NA,NA
KNA,FALSE,NA,31,0.850620152461941,0.2432789267266909,0.3687614570967742,0.5873949221366765,NA,NA,NA,NA
HRV,FALSE,NA,29,0.7506859540329968,0.2431473319586726,1.7883923344827586,1.9971670910322472,NA,NA,NA,NA
CRI,FALSE,NA,31,0.8194021300840774,0.2406978700490506,0.6338608425806451,0.8394938725355626,NA,NA,NA,NA
FIN,FALSE,NA,31,0.8922147578561901,0.24038598027848837,1.8214987258064517,2.0134122289147838,NA,NA,NA,NA
SWE,FALSE,NA,31,0.869455876663384,0.23917032680730785,1.7021589193548388,1.8966120822394896,NA,NA,NA,NA
ISL,FALSE,NA,31,0.8833150353474689,0.23762748301204809,1.8216202677419355,2.0196864482255146,NA,NA,NA,NA
JOR,FALSE,NA,31,0.3495454679976709,0.23733755707894613,0.35885703870967744,0.28067190644049367,NA,NA,NA,NA
WSM,FALSE,NA,31,0.8726040058541886,0.23690839314020948,0.9709294818064517,1.1707337299176848,NA,NA,NA,NA
NIC,FALSE,NA,31,0.73722088440651945,0.23586402108040933,0.8163649705161291,0.8230151835754639,NA,NA,NA,NA
AUT,FALSE,NA,31,0.8881138564508988,0.23423550646979205,1.6603705967741935,1.8477083664872338,NA,NA,NA,NA
BDI,FALSE,NA,30,0.4347262976848784,0.23380414915909234,0.5669769048666666,0.5332681802147407,NA,NA,NA,NA
GBR,FALSE,NA,31,0.9292459619567384,0.23324948739767876,2.5643099,2.7186837936066635,NA,NA,NA,NA
HND,FALSE,NA,31,0.7973236931232,0.23284698213619073,0.6735664251612903,0.865774475292777,NA,NA,NA,NA
ECU,FALSE,NA,31,0.6999571613971943,0.23272425504287178,0.5204578674193548,0.5701725827745083,NA,NA,NA,NA
MEX,FALSE,NA,31,0.5412250494411166,0.23141611887003907,0.5539724692258065,0.642132231629137,NA,NA,NA,NA
PRY,FALSE,NA,31,0.8585070854105814,0.23052608846831518,0.6902144674193549,0.8743909940637382,NA,NA,NA,NA
PLW,FALSE,NA,23,0.9737022364516619,0.22964990677163982,2.213261647826087,2.4257270172749394,NA,NA,NA,NA
NOR,FALSE,NA,31,0.8927666946773734,0.22821251366275042,1.8162552258064517,2.005750440817411,NA,NA,NA,NA
CHE,FALSE,NA,19,0.7151886985900177,0.22728448747710334,1.4209258578947368,1.6439455863376105,NA,NA,NA,NA
ISR,FALSE,NA,31,0.8180764245333099,0.22398608855656305,3.1644729967741934,3.2817217629422846,NA,NA,NA,NA
TTO,FALSE,NA,31,0.7610867706311415,0.2237658091189971,0.3889570483870967,0.5219471396303477,NA,NA,NA,NA
COL,FALSE,NA,31,0.5288976333658418,0.22328556319181406,0.4843409503225807,0.6221682680478439,NA,NA,NA,NA
BRB,FALSE,NA,31,0.8710394639598407,0.22214190979155815,0.40655515677419357,0.5936709428603185,NA,NA,NA,NA
TUN,FALSE,NA,31,0.4375134322509103,0.2194843449159641,0.35384357096774194,0.3557590098448237,NA,NA,NA,NA
HTI,FALSE,NA,31,0.8612119694516005,0.2187344349115924,0.505537794516129,0.6708345257827,NA,NA,NA,NA
MDA,FALSE,NA,29,0.8963839292314116,0.2178620965710306,1.6995024068965516,1.8744053332071429,NA,NA,NA,NA
CYP,FALSE,NA,31,0.890453324486811,0.21648367318212386,1.2418668881612902,1.4244293871254994,NA,NA,NA,NA
BIH,FALSE,NA,27,0.7897705912105252,0.21643092583959442,1.5009897163703705,1.6647180731226432,NA,NA,NA,NA
VUT,FALSE,NA,30,0.8440393649935364,0.21632073073494426,0.7789462902666667,0.9398755460982341,NA,NA,NA,NA
SOM,FALSE,NA,21,0.42163866739272293,0.2159492315936842,0.2949256761904762,0.26512621976186446,NA,NA,NA,NA
SLV,FALSE,NA,31,0.8449190950098112,0.21480570200437202,0.5454696719354839,0.7197784260781431,NA,NA,NA,NA
SYC,FALSE,NA,29,0.6162296879296957,0.21472347773202388,0.3086125275862069,0.40344997014905015,NA,NA,NA,NA
RWA,FALSE,NA,31,0.7209255083359611,0.21469631688240814,0.4691238174193548,0.5853957978234985,NA,NA,NA,NA
LBN,FALSE,NA,31,0.08744511383341116,0.21346434896321806,0.3975862161290323,0.3217435405285119,NA,NA,NA,NA
MDV,FALSE,NA,31,0.6476286511519627,0.21295195226845792,0.32480460322580645,0.4173500996211125,NA,NA,NA,NA
ARG,FALSE,NA,31,0.9426675172395853,0.21129138784632892,1.0013286461290323,1.11981622940175,NA,NA,NA,NA
LBY,FALSE,NA,31,0.6445315748456857,0.21123913558934349,0.5723253806451613,0.5259563312692149,NA,NA,NA,NA
GTM,FALSE,NA,31,0.7532459183169702,0.21099937860546591,0.6728733592580645,0.843988574598645,NA,NA,NA,NA
BHS,FALSE,NA,31,0.8916331795640932,0.2103854650986802,0.5122981393548387,0.685410109170532,NA,NA,NA,NA
GUY,FALSE,NA,31,0.7863591076329854,0.2096789117006869,0.35803080322580644,0.44863996023271574,NA,NA,NA,NA
NAM,FALSE,NA,31,0.4202734246980958,0.20884401926636295,0.2933304741935484,0.3364532813191659,NA,NA,NA,NA
ATG,FALSE,NA,31,0.8661793918508518,0.208005433249745,0.3777663570967742,0.5501795339852774,NA,NA,NA,NA
SEN,FALSE,NA,31,0.7033934135446449,0.20729072651621597,0.3078112451612903,0.40777998735548143,NA,NA,NA,NA
FSM,FALSE,NA,29,0.8940187101632852,0.20690540175540992,2.3913910689655173,2.568453228371083,NA,NA,NA,NA
BWA,FALSE,NA,31,0.7770826129838811,0.20400471504283635,0.3708221312903226,0.5234899621968168,NA,NA,NA,NA
