"country","year","ideal_point"
"PAN",2002,0.599263821602106
"PER",2002,0.694668912648194
"PHL",2002,0.948898440858802
"PLW",2002,0.230404566674497
"PNG",2002,1.27430283078139
"POL",2002,-5.01584020758723
"PRK",2002,1.8019798176093
"PRT",2002,-6.17090102046348
"PRY",2002,0.229511360612434
"PSE",2002,-0.0660465340992093
"QAT",2002,3.93682880734278
"ROU",2002,-0.0523280339631052
"RUS",2002,-1.46880262382917
"RWA",2002,1.5215820204948
"SAU",2002,4.31405727847654
"SDN",2002,4.43076254744397
"SEN",2002,2.58273132858384
"SGP",2002,1.40542463187874
"SLB",2002,0.359991826252985
"SLE",2002,1.16606338202883
"SLV",2002,0.292285235244274
"SMR",2002,-2.10175274429639
"SOM",2002,3.48331582346449
"SRB",2002,-0.993327775185858
"STP",2002,1.57137169128503
"SUR",2002,1.15287871702351
"SVK",2002,-3.94321473458963
"SVN",2002,-5.01631658488395
"SWE",2002,-6.60835120827559
"SWZ",2002,1.55032034166214
"SYC",2002,1.5388453270501
"SYR",2002,2.48181478960859
"TCD",2002,1.74558426814067
"TGO",2002,2.03061065148647
"THA",2002,0.780810775482136
"TJK",2002,0.366799634126761
"TKM",2002,1.41884140484882
"TLS",2002,-0.81140555561681
"TON",2002,0.367399464579743
"TTO",2002,1.21089596091581
"TUN",2002,3.45234258182121
"TUR",2002,-1.65207576979664
"TUV",2002,-1.00484504345001
"TZA",2002,1.52117471725426
"UGA",2002,1.47370378764912
"UKR",2002,-2.89925443583962
"URY",2002,0.210104007020401
"USA",2002,-2.11448388817301
"UZB",2002,-0.635288420556394
"VCT",2002,0.456165748849814
"VEN",2002,0.825426153636514
"VNM",2002,1.88323154596986
"VUT",2002,1.30074731032011
"WSM",2002,0.310861528683658
"YEM",2002,3.7370243298845
"ZAF",2002,2.17003955996107
"ZMB",2002,1.55347950601195
"ZWE",2002,2.01672606497844
"AFG",2003,1.80064476632443
"AGO",2003,1.61033312631812
"ALB",2003,-1.95762100036403
"AND",2003,-2.61426448384385
"ARE",2003,3.94114699962989
"ARG",2003,-0.064745142254461
"ARM",2003,-1.84767788228327
"ATG",2003,0.251132412280392
"AUS",2003,-3.63945358833434
"AUT",2003,-6.59456684540888
"AZE",2003,-1.23402224941443
"BDI",2003,1.74872881132023
"BEL",2003,-6.48977880433792
"BEN",2003,1.53144102657161
"BFA",2003,1.6492885616768
"BGD",2003,3.44442152621389
"BGR",2003,-4.5147024936693
"BHR",2003,4.00505320683468
"BHS",2003,1.4774173111369
"BIH",2003,-9.23762515512953e-06
"BLR",2003,-0.852762899524701
"BLZ",2003,1.23599644886266
"BOL",2003,0.604291509859142
"BRA",2003,-0.0319713839789567
"BRB",2003,1.4059242493873
"BRN",2003,3.37609517229688
"BTN",2003,1.55813271077469
"BWA",2003,1.49554988814527
"CAF",2003,1.44898928776608
"CAN",2003,-5.14978942510439
"CHE",2003,-3.33284306495421
"CHL",2003,0.385014093759036
"CHN",2003,0.385039411728098
"CIV",2003,1.48226223251251
"CMR",2003,1.57461635545469
"COD",2003,1.83569922671599
"COG",2003,1.72221777014033
"COL",2003,0.963143768885559
"COM",2003,3.51961386850255
"CPV",2003,1.27680266909621
"CRI",2003,-0.00956281236725252
"CUB",2003,3.34676444468455
"CYP",2003,-0.33062473104363
"CZE",2003,-5.4390860675979
"DEU",2003,-5.46471547011964
"DJI",2003,3.95496936970385
"DMA",2003,0.243761265947908
"DNK",2003,-6.69745418679352
"DOM",2003,0.763530869152681
"DZA",2003,4.16006262766978
"ECU",2003,0.616543155168318
"EGY",2003,4.67818271175439
"ERI",2003,1.65550733428144
"ESP",2003,-6.46329006896311
"EST",2003,-3.90763578324445
"ETH",2003,1.64737458043069
"FIN",2003,-6.83073630712282
"FJI",2003,0.236299369555524
"FRA",2003,-6.13798953478092
"FSM",2003,0.165276422274781
"GAB",2003,1.58938339986956
"GBR",2003,-6.66068229847488
"GEO",2003,-1.65844502551424
"GHA",2003,1.40927324808975
"GIN",2003,2.75494742259149
"GMB",2003,1.7154703432233
"GNB",2003,1.68193307471342
"GNQ",2003,1.73597311900927
"GRC",2003,-6.22714234083376
"GRD",2003,1.30352298671047
"GTM",2003,0.504617045059337
"GUY",2003,1.43581136492221
"HND",2003,1.01412172060862
"HRV",2003,-3.92834898239264
"HTI",2003,0.318163547659804
"HUN",2003,-5.74494369167636
"IDN",2003,3.72984635645748
"IND",2003,1.25081141671457
"IRL",2003,-6.11483612030426
"IRN",2003,2.29411167607007
"IRQ",2003,2.29011102543929
"ISL",2003,-4.01864368409026
"ISR",2003,-1.54260908261239
"ITA",2003,-6.36675311325041
"JAM",2003,1.39722772173235
"JOR",2003,3.60571974933521
"JPN",2003,-3.2095561440155
"KAZ",2003,-1.4551413098524
"KEN",2003,1.62979339561353
"KGZ",2003,-1.29606569525773
"KHM",2003,1.65541094999976
"KIR",2003,0.324147518298624
"KNA",2003,0.279941609274567
"KOR",2003,-2.61682654114907
"KWT",2003,3.85281403722162
"LAO",2003,2.21811865759143
"LBN",2003,2.46375756946988
"LBR",2003,1.45577904859106
"LBY",2003,2.87671482116645
"LCA",2003,1.47401995924022
"LIE",2003,-3.48915701416364
"LKA",2003,1.70351031302854
"LSO",2003,1.6230794985611
"LTU",2003,-4.93141171792549
"LUX",2003,-5.89105171831368
"LVA",2003,-4.22890024951829
"MAR",2003,3.60416151496563
"MCO",2003,-3.09515385406871
"MDA",2003,-2.79091470940552
"MDG",2003,1.47687978130466
"MDV",2003,1.56154190141312
"MEX",2003,-1.25374607638787
"MHL",2003,0.232554007307441
"MKD",2003,-3.68579584558921
"MLI",2003,2.61015813911541
"MLT",2003,-0.102597260812895
"MMR",2003,1.98350425059937
"MNE",2003,-1.20695334811127
"MNG",2003,0.933380203389181
"MOZ",2003,1.58268111212554
"MRT",2003,3.10440934961282
"MUS",2003,1.5427641495734
"MWI",2003,1.50528927831379
"MYS",2003,3.73416472394002
"NAM",2003,2.75366290541753
"NER",2003,1.62940390560671
"NGA",2003,1.66109785212031
"NIC",2003,0.783930885953772
"NLD",2003,-7.05794748174319
"NOR",2003,-5.25050468238085
"NPL",2003,1.51270335482868
"NRU",2003,0.280705153801194
"NZL",2003,-3.10073268355827
"OMN",2003,3.96310555783733
"PAK",2003,2.42751107149675
"PAN",2003,0.55333980165244
"PER",2003,0.741038031784699
"PHL",2003,0.978445669553665
"PLW",2003,-0.0358847426460668
"PNG",2003,1.24067947017484
"POL",2003,-5.68096191745582
"PRK",2003,1.89428664077141
"PRT",2003,-6.0181318253013
"PRY",2003,0.120221521070567
"PSE",2003,-0.134193940953272
"QAT",2003,4.15049897182495
"ROU",2003,-0.219500893306299
"RUS",2003,-1.48476193939008
"RWA",2003,1.48822317734584
"SAU",2003,4.47648238855685
"SDN",2003,4.72602636706841
"SEN",2003,3.11785799406482
"SGP",2003,1.44985151066363
"SLB",2003,0.334561318386194
"SLE",2003,1.28120228607308
"SLV",2003,0.199579449300957
"SMR",2003,-1.96431058465253
"SOM",2003,3.5668554622172
"SRB",2003,-1.21095545133299
"STP",2003,1.76567128288667
"SUR",2003,1.39478187596708
"SVK",2003,-4.99737120375715
"SVN",2003,-5.64772221204152
"SWE",2003,-6.64860160159405
"SWZ",2003,1.7645713536508
"SYC",2003,1.6717575168886
"SYR",2003,2.58068479673802
