weight_rank,iso3c,country_name,region,latin_america,unit_weight,high_weight_donor,mean_china_export_share_post_treatment,mean_china_export_share_pre_treatment,max_china_export_share_post_treatment,max_china_export_share_pre_treatment,mean_china_rank_post_treatment,mean_china_rank_pre_treatment,min_china_rank_post_treatment,min_china_rank_pre_treatment,ever_china_top_export_destination_post_treatment,ever_china_top_export_destination_pre_treatment,ever_china_top_two_export_destination_post_treatment,ever_china_top_two_export_destination_pre_treatment,delta_mean_china_export_share_post_minus_pre,china_exposure_flag
76,UKR,Ukraine,Europe & Central Asia,FALSE,9.157562669765605e-4,FALSE,0.0477900823142445,0.025844150802361774,0.07287862795050899,0.05204113169705749,3.2857142857142856,10.583333333333334,2,3,FALSE,FALSE,TRUE,FALSE,0.02194593151188273,China top-two export destination post-2009
77,FRA,France,Europe & Central Asia,FALSE,9.014823272106607e-4,FALSE,0.034715815234381636,0.017802355585866198,0.042980044101611166,0.027533629697716378,8.571428571428571,10.666666666666666,7,9,FALSE,FALSE,FALSE,FALSE,0.016913459648515438,No top-two China export-destination exposure
78,ARE,United Arab Emirates,Middle East & North Africa,FALSE,4.1783966718782716e-4,FALSE,0.04336510827265097,0.01635418664488222,0.0631214186509903,0.027707200933144313,6.714285714285714,13.416666666666666,3,8,FALSE,FALSE,FALSE,FALSE,0.02701092162776875,No top-two China export-destination exposure
79,BGD,Bangladesh,South Asia,FALSE,3.518960326837463e-4,FALSE,0.015261423806726036,0.006121264212098943,0.021562574335987936,0.011291075078050777,14.714285714285714,21.25,12,13,FALSE,FALSE,FALSE,FALSE,0.009140159594627092,No top-two China export-destination exposure
80,EGY,Egypt,Middle East & North Africa,FALSE,4.302991262874992e-5,FALSE,0.031175266788896615,0.008692497502463597,0.047905359778107684,0.012236255713642522,10.428571428571429,22.333333333333332,6,17,FALSE,FALSE,FALSE,FALSE,0.022482769286433016,No top-two China export-destination exposure
81,MEX,Mexico,Latin America & Caribbean,TRUE,2.840526514179598e-5,FALSE,0.02179054221535907,0.0065610030023094176,0.025548938929352016,0.01129728700215137,3.142857142857143,13.583333333333334,3,6,FALSE,FALSE,FALSE,FALSE,0.015229539213049653,No top-two China export-destination exposure
82,BHR,Bahrain,Middle East & North Africa,FALSE,0,FALSE,0.029775227227011158,0.015716899760566082,0.050167617076052676,0.026894742605898667,11.142857142857142,19.583333333333332,3,11,FALSE,FALSE,FALSE,FALSE,0.014058327466445076,No top-two China export-destination exposure
83,BLR,Belarus,Europe & Central Asia,FALSE,0,FALSE,0.02504961333551155,0.017477575226590943,0.04016884533873042,0.029348762234819855,7.285714285714286,12,5,5,FALSE,FALSE,FALSE,FALSE,0.007572038108920608,No top-two China export-destination exposure
84,CIV,Côte d’Ivoire,Sub-Saharan Africa,FALSE,0,FALSE,0.012921398208703047,0.006986088657749684,0.01872601592038592,0.01683138548574627,21.857142857142858,32.833333333333336,18,16,FALSE,FALSE,FALSE,FALSE,0.0059353095509533625,No top-two China export-destination exposure
85,CPV,Cape Verde,Sub-Saharan Africa,FALSE,0,FALSE,0.0028425527045056647,1.9860985597448954e-5,0.010752467805433022,1.4573684707345716e-4,39.285714285714285,54.75,6,40,FALSE,FALSE,FALSE,FALSE,0.0028226917189082155,No top-two China export-destination exposure
86,ECU,Ecuador,Latin America & Caribbean,TRUE,0,FALSE,0.03469993960218337,0.011223583281521498,0.05885427520279907,0.037333197987113285,7.285714285714286,20.583333333333332,3,5,FALSE,FALSE,FALSE,FALSE,0.023476356320661876,No top-two China export-destination exposure
87,GAB,Gabon,Sub-Saharan Africa,FALSE,0,FALSE,0.09065808531653748,0.10669953399757502,0.13733642290532902,0.1974559570582234,4,2.1666666666666665,2,2,FALSE,FALSE,TRUE,TRUE,-0.016041448681037546,China top-two export destination post-2009
88,GHA,Ghana,Sub-Saharan Africa,FALSE,0,FALSE,0.052878561683816584,0.017220673884349662,0.1079974462092548,0.03471684803866261,8.285714285714286,17.666666666666668,3,10,FALSE,FALSE,FALSE,FALSE,0.03565788779946692,No top-two China export-destination exposure
89,GIN,Guinea,Sub-Saharan Africa,FALSE,0,FALSE,0.015491176340477909,0.012897870975899135,0.032976832024734504,0.04103339074676237,14,26.25,10,9,FALSE,FALSE,FALSE,FALSE,0.002593305364578774,No top-two China export-destination exposure
90,KWT,Kuwait,Middle East & North Africa,FALSE,0,FALSE,0.09515476133560986,0.026654929320257637,0.12913852721504618,0.05820575013283017,4.428571428571429,9.583333333333334,2,7,FALSE,FALSE,TRUE,FALSE,0.06849983201535223,China top-two export destination post-2009
91,MDG,Madagascar,Sub-Saharan Africa,FALSE,0,FALSE,0.06844797676170046,0.015479424917274926,0.08735940663541611,0.04291978105385591,3.4285714285714284,12.166666666666666,2,5,FALSE,FALSE,TRUE,FALSE,0.05296855184442553,China top-two export destination post-2009
92,NGA,Nigeria,Sub-Saharan Africa,FALSE,0,FALSE,0.01666706321190538,0.00722630854490077,0.025842616658056802,0.013133751803568332,15.428571428571429,21.666666666666668,13,15,FALSE,FALSE,FALSE,FALSE,0.00944075466700461,No top-two China export-destination exposure
93,RWA,Rwanda,Sub-Saharan Africa,FALSE,0,FALSE,0.11501584823354133,0.04898468014371496,0.1418719968559114,0.12623994846528683,2.2857142857142856,6.666666666666667,2,2,FALSE,FALSE,TRUE,TRUE,0.06603116808982637,China top-two export destination post-2009
94,SWZ,Eswatini,Sub-Saharan Africa,FALSE,0,FALSE,0.017441650630852384,0.00662063888156382,0.04833817262000251,0.014878771764893186,33.57142857142857,23.083333333333332,2,12,FALSE,FALSE,TRUE,FALSE,0.010821011749288564,China top-two export destination post-2009
95,VEN,Venezuela,Latin America & Caribbean,TRUE,0,FALSE,0.12637132456755173,0.017675654730535117,0.17483051667943,0.05912938182617598,2.7142857142857144,20.083333333333332,2,2,FALSE,FALSE,TRUE,TRUE,0.10869566983701662,China top-two export destination post-2009
