variant,event_time,count,att,se,ci_lo,ci_hi
UNGA-DM common window,-21,9,0.12332400988539445,0.03802817094973383,0.04878879482391614,0.19785922494687275
UNGA-DM common window,-20,12,0.1131613645576786,0.04300635973521292,0.028868899476661283,0.1974538296386959
UNGA-DM common window,-19,14,0.04753529755294331,0.06493841042730063,-0.07974398688456591,0.17481458199045252
UNGA-DM common window,-18,17,-0.022888086660944367,0.062180452720034585,-0.14476177399221216,0.09898560067032341
UNGA-DM common window,-17,21,-0.0165174385804272,0.05350711376587144,-0.12139138156153521,0.08835650440068081
UNGA-DM common window,-16,25,-0.03552037323963751,0.04338217299448435,-0.12054943230882684,0.04950868582955181
UNGA-DM common window,-15,26,-2.5999002263428386e-4,0.037456294645712776,-0.07367432752823133,0.07315434748296276
UNGA-DM common window,-14,29,-0.0018186112155518977,0.039591467608596984,-0.07941788772840198,0.0757806652972982
UNGA-DM common window,-13,32,0.008772215412445585,0.03253294320154859,-0.05499235326258966,0.07253678408748082
UNGA-DM common window,-12,33,0.014874226803927266,0.029754174202456032,-0.043443954632886556,0.0731924082407411
UNGA-DM common window,-11,34,-0.01371953812688998,0.03215113498148273,-0.07673576269059613,0.04929668643681618
UNGA-DM common window,-10,33,-0.012527170908160088,0.03347705713276001,-0.0781422028883697,0.053087861072049526
UNGA-DM common window,-9,35,0.005445476776003316,0.03522041704732097,-0.06358654063674578,0.07447749418875242
UNGA-DM common window,-8,35,0.0672467776809266,0.030353882674247924,0.00775316763940067,0.12674038772245252
UNGA-DM common window,-7,34,0.007386060477897371,0.03063826468174503,-0.05266493829832289,0.06743705925411762
UNGA-DM common window,-6,33,-0.010919938265909099,0.02571005397509006,-0.06131164405708561,0.03947176752526742
UNGA-DM common window,-5,33,-0.03295838133687716,0.031933763352491686,-0.09554855750776087,0.029631794834006547
UNGA-DM common window,-4,34,-0.01228440153599123,0.03013861412141759,-0.0713560852139697,0.04678728214198724
UNGA-DM common window,-3,32,-0.024395846396027855,0.03049068186932903,-0.08415758285991276,0.03536589006785704
UNGA-DM common window,-2,32,0.010328479717098757,0.030121600368965884,-0.04870985700607437,0.06936681644027189
UNGA-DM common window,-1,33,-0.05358935951576079,0.03200594203485596,-0.11632100590407848,0.009142286872556894
UNGA-DM common window,0,35,-0.022283919373311718,0.03030220573205459,-0.08167624260813872,0.037108403861515274
UNGA-DM common window,1,35,-0.04693893857542884,0.03483927598234835,-0.1152239195008316,0.02134604234997392
UNGA-DM common window,2,35,-0.017137223085009385,0.03640484599578693,-0.08849072123675177,0.054216275066733
UNGA-DM common window,3,35,-0.061399989768801025,0.05002872774878242,-0.15945629615641457,0.03665631661881252
UNGA-DM common window,4,34,0.031514970621719714,0.05540272842714572,-0.0770743770954859,0.1401043183389253
UNGA-DM common window,5,32,-0.04747588217324557,0.0659995086871972,-0.1768349192001521,0.08188315485366095
UNGA-DM common window,6,31,-0.03835909823970557,0.06887939129654315,-0.17336270518093014,0.096644508701519
UNGA-DM common window,7,30,-0.06872567915982601,0.06872130353142396,-0.20341943408141694,0.06596807576176493
UNGA-DM common window,8,27,-0.03160566617118473,0.05742997371030984,-0.14416841464339203,0.08095708230102255
UNGA-DM common window,9,24,-0.0866570007588574,0.07641863030977793,-0.23643751616602213,0.06312351464830732
UNGA-DM common window,10,22,-0.0528473643892118,0.07305567253801507,-0.19603648256372133,0.09034175378529771
UNGA-DM common window,11,21,-0.03256278118718938,0.07733639062110051,-0.18414210680454637,0.1190165444301676
UNGA-DM common window,12,18,0.03668159912182319,0.10005945968420059,-0.15943494185920995,0.23279814010285635
UNGA-DM common window,13,12,5.334982676108874e-4,0.10346261862321066,-0.20225323423388197,0.20332023076910377
UNGA-DM common window,14,9,0.016122009255089564,0.16061628681218412,-0.2986859128967913,0.3309299314069704
UNGA-DM common window,15,6,0.08020470251117742,0.10760873957122516,-0.1307084270484239,0.29111783207077874
UNGA-DM common window,16,5,0.20336766162577932,0.1141960893670452,-0.02045667353362926,0.42719199678518793
UNGA-DM common window,17,4,-0.03491436808538158,0.16704500961325214,-0.36232258692735575,0.2924938507565926
UNGA-DM common window,18,2,0.22749503353140776,0.13219624963425586,-0.03160961575173371,0.48659968281454924
