spec_id,outcome,case,placebo_unit,ddd
displaced_partner,distance,KOR,FJI,0.11434852104070944
displaced_partner,distance,KOR,FRA,0.13804585440817013
displaced_partner,distance,KOR,FSM,0.2014036276171367
displaced_partner,distance,KOR,GEO,0.01632428718998921
displaced_partner,distance,KOR,GRC,0.17123628055271634
displaced_partner,distance,KOR,GRD,-0.2851303714970357
displaced_partner,distance,KOR,GTM,0.12147032551325283
displaced_partner,distance,KOR,GUY,-0.20661527618039294
displaced_partner,distance,KOR,HND,0.13966944086228417
displaced_partner,distance,KOR,HRV,0.3770783135002671
displaced_partner,distance,KOR,HTI,-0.056019340804881634
displaced_partner,distance,KOR,HUN,0.06940229547803493
displaced_partner,distance,KOR,IND,-0.07988438724356255
displaced_partner,distance,KOR,IRL,0.11496146185572949
displaced_partner,distance,KOR,ISL,0.07419191215585196
displaced_partner,distance,KOR,ISR,-0.2530300835687907
displaced_partner,distance,KOR,ITA,0.10777217040232752
displaced_partner,distance,KOR,JAM,-0.2690153849734656
displaced_partner,distance,KOR,JOR,0.04999221109822744
displaced_partner,distance,KOR,KEN,0.032259284215374835
displaced_partner,distance,KOR,KNA,0.9072896806936768
displaced_partner,distance,KOR,LBN,-0.05776260181920638
displaced_partner,distance,KOR,LBY,-0.2067490198289457
displaced_partner,distance,KOR,LCA,0.014324369078129997
displaced_partner,distance,KOR,LKA,-0.057901469262169575
displaced_partner,distance,KOR,LSO,0.037330397905231835
displaced_partner,distance,KOR,LTU,0.2588633636859683
displaced_partner,distance,KOR,LVA,0.19589009213260797
displaced_partner,distance,KOR,MAR,-0.10971279362815266
displaced_partner,distance,KOR,MDA,0.05137805333199991
displaced_partner,distance,KOR,MDG,-0.1778454281433116
displaced_partner,distance,KOR,MDV,-0.31014670516929227
displaced_partner,distance,KOR,MEX,0.14488421605814208
displaced_partner,distance,KOR,MHL,0.0471394387487597
displaced_partner,distance,KOR,MKD,0.29471674115636043
displaced_partner,distance,KOR,MUS,-0.3079325909280409
displaced_partner,distance,KOR,MWI,0.15089043783223755
displaced_partner,distance,KOR,NAM,0.061269604625460244
displaced_partner,distance,KOR,NGA,-1.7627448954543072e-4
displaced_partner,distance,KOR,NIC,0.2501941924752345
displaced_partner,distance,KOR,NLD,0.10622314493583433
displaced_partner,distance,KOR,NOR,0.07532248071673603
displaced_partner,distance,KOR,NPL,0.04023660875864313
displaced_partner,distance,KOR,PAK,-0.24548262660179174
displaced_partner,distance,KOR,POL,0.05545665456605074
displaced_partner,distance,KOR,PRT,0.15521591527940326
displaced_partner,distance,KOR,PRY,0.06973689606638404
displaced_partner,distance,KOR,ROU,0.1911700793115652
displaced_partner,distance,KOR,RWA,-0.04824421470856383
displaced_partner,distance,KOR,SEN,-0.04675312185020303
displaced_partner,distance,KOR,SGP,-0.05406632576069916
displaced_partner,distance,KOR,SLV,0.11439979658990457
displaced_partner,distance,KOR,SUR,-0.061712561427266166
displaced_partner,distance,KOR,SVK,0.1703355408930353
displaced_partner,distance,KOR,SVN,0.1521167238547221
displaced_partner,distance,KOR,SWE,0.11251134914283728
displaced_partner,distance,KOR,SWZ,-0.044326392414295576
displaced_partner,distance,KOR,SYR,-0.32581954106971117
displaced_partner,distance,KOR,TGO,-0.048985174793055246
displaced_partner,distance,KOR,TTO,-0.2165781736046195
displaced_partner,distance,KOR,TUN,-0.09546831609109561
displaced_partner,distance,KOR,TUR,0.5392514510675589
displaced_partner,distance,KOR,UGA,-0.08157082184221702
displaced_partner,distance,KOR,VCT,-0.22156797134754053
displaced_partner,distance,KOR,WSM,-0.1569270671897497
displaced_partner,distance,AUS,AFG,0.31205516877416156
displaced_partner,distance,AUS,ALB,-0.08342595174789343
displaced_partner,distance,AUS,AND,-0.12723581940159942
displaced_partner,distance,AUS,ARE,-0.07109594039304966
displaced_partner,distance,AUS,ARG,0.0683294829522937
displaced_partner,distance,AUS,ATG,-0.03466940931626834
displaced_partner,distance,AUS,AUT,-0.007477475952532201
displaced_partner,distance,AUS,AZE,0.26057924570467794
displaced_partner,distance,AUS,BGD,0.11079301246284895
displaced_partner,distance,AUS,BGR,0.05186494606023037
displaced_partner,distance,AUS,BHR,0.2996179315004957
displaced_partner,distance,AUS,BHS,-0.25811174474038673
displaced_partner,distance,AUS,BLR,0.38272882293080196
displaced_partner,distance,AUS,BLZ,-0.07422475477869811
displaced_partner,distance,AUS,BOL,0.05884286307266464
displaced_partner,distance,AUS,BRB,0.023505681145034134
displaced_partner,distance,AUS,BRN,-0.029917620727557336
displaced_partner,distance,AUS,BTN,-0.10485058302612218
displaced_partner,distance,AUS,BWA,0.27346608338286155
