iso3c,estimate_china,rmspe_pre_china,status_china,error_china,estimate_anchor,rmspe_pre_anchor,status_anchor,error_anchor,estimate_difference,status
SUR,0.03608006754935892,0.05159166253340286,estimated,,0.07805146705524126,0.10201837596693386,estimated,,-0.041971399505882336,estimated
SVK,0.012961714788981792,0.03730423489262127,estimated,,0.04941689340774328,0.02931532240509251,estimated,,-0.03645517861876149,estimated
SVN,-0.11866101338201099,0.024898289092584288,estimated,,-0.06962849217881367,0.018057007071652916,estimated,,-0.049032521203197316,estimated
SWE,-0.05482861507456553,0.043514781466325043,estimated,,0.004056472890909774,0.023081562106769093,estimated,,-0.058885087965475306,estimated
SWZ,0.025238654800143135,0.11757284582309217,estimated,,0.12253830944092661,0.13257501590675927,estimated,,-0.09729965464078348,estimated
TCD,0.05203967542992975,0.17051131172429773,estimated,,-0.08760390596248567,0.1972538339515283,estimated,,0.13964358139241542,estimated
TGO,0.307694807968874,0.08026267645215124,estimated,,-0.30062914319067735,0.08698463157262927,estimated,,0.6083239511595513,estimated
TTO,0.05625087329829428,0.05282149211439184,estimated,,-0.03363204338252498,0.029143715476449207,estimated,,0.08988291668081926,estimated
TUN,0.08418685280323268,0.11866549351746443,estimated,,-0.1437994008316585,0.1281310136443616,estimated,,0.2279862536348912,estimated
TUR,-0.0587519467086784,0.04605604668394315,estimated,,0.03980521484186404,0.04786567813752385,estimated,,-0.09855716155054245,estimated
UGA,0.043900545933724285,0.16094413091455168,estimated,,0.21514827565690461,0.16970159152640013,estimated,,-0.17124772972318034,estimated
UKR,-0.053305198132312,0.1500815268624339,estimated,,-0.23505225731696036,0.14042050500809977,estimated,,0.18174705918464837,estimated
USA,-0.2201492720812142,0.06599651212057264,estimated,,-0.18181420550465052,0.0778114923298484,estimated,,-0.03833506657656369,estimated
VEN,0.31335569044257505,0.13764787933292455,estimated,,0.12321543777847326,0.11916429973015692,estimated,,0.19014025266410178,estimated
