weight_rank,iso3c,country_name,region,latin_america,unit_weight,cumulative_weight,uniform_weight,high_weight_donor
63,PRT,Portugal,Europe & Central Asia,FALSE,0.008067758217912151,0.9285918121990373,0.010526315789473684,FALSE
64,ITA,Italy,Europe & Central Asia,FALSE,0.007853277011033853,0.9364450892100712,0.010526315789473684,FALSE
65,SVK,Slovakia,Europe & Central Asia,FALSE,0.007777969031919113,0.9442230582419903,0.010526315789473684,FALSE
66,MAR,Morocco,Middle East & North Africa,FALSE,0.007345126694438545,0.9515681849364288,0.010526315789473684,FALSE
67,MDA,Moldova,Europe & Central Asia,FALSE,0.007314339668994019,0.9588825246054228,0.010526315789473684,FALSE
68,BTN,Bhutan,South Asia,FALSE,0.006180104059926089,0.9650626286653489,0.010526315789473684,FALSE
69,GBR,United Kingdom,Europe & Central Asia,FALSE,0.005925567982923353,0.9709881966482722,0.010526315789473684,FALSE
70,USA,United States,North America,FALSE,0.0043627138430413406,0.9753509104913135,0.010526315789473684,FALSE
71,LKA,Sri Lanka,South Asia,FALSE,0.0037994650857947304,0.9791503755771083,0.010526315789473684,FALSE
72,BWA,Botswana,Sub-Saharan Africa,FALSE,0.003099522542656156,0.9822498981197644,0.010526315789473684,FALSE
73,IRL,Ireland,Europe & Central Asia,FALSE,0.0030196313890154007,0.9852695295087798,0.010526315789473684,FALSE
74,CAN,Canada,North America,FALSE,0.0029700253282427765,0.9882395548370225,0.010526315789473684,FALSE
75,LBY,Libya,Middle East & North Africa,FALSE,0.0023139846482236447,0.9905535394852462,0.010526315789473684,FALSE
76,ARE,United Arab Emirates,Middle East & North Africa,FALSE,8.597830731803788e-4,0.9914133225584265,0.010526315789473684,FALSE
77,FRA,France,Europe & Central Asia,FALSE,5.960347928886229e-4,0.9920093573513151,0.010526315789473684,FALSE
78,BGD,Bangladesh,South Asia,FALSE,5.052978493828832e-4,0.992514655200698,0.010526315789473684,FALSE
79,BHR,Bahrain,Middle East & North Africa,FALSE,4.4031439995893845e-4,0.992954969600657,0.010526315789473684,FALSE
80,BLR,Belarus,Europe & Central Asia,FALSE,4.4031439995893845e-4,0.9933952840006159,0.010526315789473684,FALSE
81,CIV,Côte d’Ivoire,Sub-Saharan Africa,FALSE,4.4031439995893845e-4,0.9938355984005749,0.010526315789473684,FALSE
82,CPV,Cape Verde,Sub-Saharan Africa,FALSE,4.4031439995893845e-4,0.9942759128005338,0.010526315789473684,FALSE
83,ECU,Ecuador,Latin America & Caribbean,TRUE,4.4031439995893845e-4,0.9947162272004928,0.010526315789473684,FALSE
84,EGY,Egypt,Middle East & North Africa,FALSE,4.4031439995893845e-4,0.9951565416004517,0.010526315789473684,FALSE
85,GAB,Gabon,Sub-Saharan Africa,FALSE,4.4031439995893845e-4,0.9955968560004107,0.010526315789473684,FALSE
86,GHA,Ghana,Sub-Saharan Africa,FALSE,4.4031439995893845e-4,0.9960371704003697,0.010526315789473684,FALSE
87,GIN,Guinea,Sub-Saharan Africa,FALSE,4.4031439995893845e-4,0.9964774848003286,0.010526315789473684,FALSE
88,KWT,Kuwait,Middle East & North Africa,FALSE,4.4031439995893845e-4,0.9969177992002876,0.010526315789473684,FALSE
89,MDG,Madagascar,Sub-Saharan Africa,FALSE,4.4031439995893845e-4,0.9973581136002465,0.010526315789473684,FALSE
90,MEX,Mexico,Latin America & Caribbean,TRUE,4.4031439995893845e-4,0.9977984280002055,0.010526315789473684,FALSE
91,NGA,Nigeria,Sub-Saharan Africa,FALSE,4.4031439995893845e-4,0.9982387424001644,0.010526315789473684,FALSE
92,RWA,Rwanda,Sub-Saharan Africa,FALSE,4.4031439995893845e-4,0.9986790568001234,0.010526315789473684,FALSE
93,SWZ,Eswatini,Sub-Saharan Africa,FALSE,4.4031439995893845e-4,0.9991193712000823,0.010526315789473684,FALSE
94,UKR,Ukraine,Europe & Central Asia,FALSE,4.4031439995893845e-4,0.9995596856000413,0.010526315789473684,FALSE
95,VEN,Venezuela,Latin America & Caribbean,TRUE,4.4031439995893845e-4,1.0000000000000002,0.010526315789473684,FALSE
