min_duration_years,sample,iso3c,country_name,cs_role_min5,ever_treated,treated_years,untreated_years,first_treat,first_year_in_panel,last_year_in_panel
3,risk_set_restricted,BIH,Bosnia & Herzegovina,never_treated,FALSE,0,29,,1992,2022
3,risk_set_restricted,BLR,Belarus,never_treated,FALSE,0,31,,1992,2022
3,risk_set_restricted,BLZ,Belize,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,BOL,Bolivia,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,BRA,Brazil,treated_min5,TRUE,14,19,2009,1990,2022
3,risk_set_restricted,BRB,Barbados,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,BRN,Brunei,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,BTN,Bhutan,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,BWA,Botswana,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,CAN,Canada,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,CHE,Switzerland,never_treated,FALSE,0,21,,2002,2022
3,risk_set_restricted,CHL,Chile,treated_min5,TRUE,16,17,2007,1990,2022
3,risk_set_restricted,CIV,Côte d’Ivoire,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,CMR,Cameroon,treated_min5,TRUE,3,25,2017,1990,2019
3,risk_set_restricted,COD,Congo - Kinshasa,treated_min5,TRUE,14,18,2008,1990,2022
3,risk_set_restricted,COG,Congo - Brazzaville,treated_min5,TRUE,15,13,2003,1990,2022
3,risk_set_restricted,COL,Colombia,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,COM,Comoros,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,CPV,Cape Verde,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,CRI,Costa Rica,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,CUB,Cuba,treated_min5,TRUE,18,14,2004,1990,2022
3,risk_set_restricted,CYP,Cyprus,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,CZE,Czechia,never_treated,FALSE,0,30,,1993,2022
3,risk_set_restricted,DEU,Germany,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,DJI,Djibouti,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,DMA,Dominica,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,DNK,Denmark,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,DOM,Dominican Republic,never_treated,FALSE,0,31,,1990,2022
3,risk_set_restricted,DZA,Algeria,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,ECU,Ecuador,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,EGY,Egypt,never_treated,FALSE,0,33,,1990,2022
