metric,min_duration_years,specification,event_time,count,att,se,ci_lo,ci_hi
m2_goods_exports_itpde,3,switching_allowed,-4,28,0.0076922878516199715,0.03418017277536676,-0.059300850788098866,0.07468542649133882
m2_goods_exports_itpde,3,switching_allowed,-3,28,0.05002632876963867,0.034267334841917,-0.017137647520518648,0.11719030505979598
m2_goods_exports_itpde,3,switching_allowed,-2,28,0.06405041380713031,0.03829167281296778,-0.011001264906286543,0.13910209252054717
m2_goods_exports_itpde,3,switching_allowed,-1,28,0.020032599599205524,0.03472047231939278,-0.04801952614680432,0.08808472534521536
m2_goods_exports_itpde,3,switching_allowed,0,31,0.03744596274661672,0.026597459204071916,-0.014685057293364237,0.08957698278659768
m2_goods_exports_itpde,3,switching_allowed,1,31,0.01843518710052544,0.03493606631662442,-0.05003950288005843,0.08690987708110931
m2_goods_exports_itpde,3,switching_allowed,2,31,0.015015847969135488,0.03735384364437747,-0.05819768557384435,0.08822938151211533
m2_goods_exports_itpde,3,switching_allowed,3,31,-0.02104262981539968,0.05160488051309893,-0.12218819562107358,0.08010293599027421
m2_goods_exports_itpde,3,switching_allowed,4,26,-0.03847551744496552,0.04864080080113773,-0.13381148701519546,0.05686045212526444
m2_goods_exports_itpde,3,switching_allowed,5,25,-0.05577838077417413,0.04770306480047854,-0.14927638778311209,0.03771962623476381
m2_goods_exports_itpde,3,switching_allowed,6,24,-0.0779122344687522,0.05675491370929254,-0.18915186533896558,0.03332739640146118
m2_goods_exports_itpde,3,switching_allowed,7,21,-0.05378785252861026,0.059559425332471085,-0.1705243261802536,0.06294862112303307
m2_goods_exports_itpde,3,switching_allowed,8,19,-0.10364370091593417,0.05298516634764284,-0.20749462695731413,2.0722512544579796e-4
m2_goods_exports_itpde,3,switching_allowed,9,19,-0.10083307356660956,0.06241659685062655,-0.2231696033938376,0.021503456260618475
m2_goods_exports_itpde,3,switching_allowed,10,18,-0.01791023687573459,0.04718449102017472,-0.11039183927527704,0.07457136552380786
m2_goods_exports_itpde,3,switching_allowed,11,15,-0.0212126027648255,0.0544895909430912,-0.12801220101328425,0.08558699548363324
m2_goods_exports_itpde,3,switching_allowed,12,14,-0.026980480248745605,0.08040563272975537,-0.18457552039906613,0.13061455990157492
m2_goods_exports_itpde,3,switching_allowed,13,12,-0.00788964485155467,0.041424228856408694,-0.08908113341011571,0.07330184370700636
m2_goods_exports_itpde,3,switching_allowed,14,10,-0.01971989485843465,0.06908315968113642,-0.155122887833462,0.11568309811659272
m2_goods_exports_itpde,3,switching_allowed,15,6,-0.05463956960667375,0.05241917619773743,-0.1573811549542391,0.04810201574089161
m2_goods_exports_itpde,3,switching_allowed,16,5,0.077473446620858,0.0891230880837764,-0.09720780602334375,0.25215469926505973
m2_goods_exports_itpde,3,switching_allowed,17,3,-0.13447097395982813,0.05462684851188257,-0.24153959704311795,-0.027402350876538292
m2_goods_exports_itpde,3,switching_allowed,18,3,0.11162582646032974,0.05412288947802174,0.005544963083407128,0.21770668983725236
m2_goods_exports_itpde,3,switching_allowed,19,2,-0.2861479820280448,0.09491568396349111,-0.4721827225964874,-0.10011324145960224
