min_duration_years,audit_role,iso3c,country_name,first_year_in_panel,last_year_in_panel,trade_years_observed,ever_observed_china_top,first_observed_china_top_year,n_observed_china_top_periods,n_qualifying_periods,n_short_eligible_periods,n_pre_min_entry_periods,n_no_clean_prior_periods,longest_observed_china_top_period,first_qualifying_entry,sample,ever_treated,treated_years,untreated_years,first_treat
3,never_china_top_control,PAK,Pakistan,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,PLW,Palau,1995,2023,25,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,25,
3,never_china_top_control,POL,Poland,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,PRT,Portugal,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,PRY,Paraguay,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,ROU,Romania,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,RWA,Rwanda,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,SEN,Senegal,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,SGP,Singapore,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,SLV,El Salvador,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,SMR,San Marino,1991,2023,23,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,23,
3,never_china_top_control,SOM,Somalia,1990,2023,23,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,23,
3,never_china_top_control,STP,São Tomé & Príncipe,1991,2023,24,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,24,
3,never_china_top_control,SUR,Suriname,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,SVK,Slovakia,1993,2023,30,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,30,
3,never_china_top_control,SVN,Slovenia,1992,2023,31,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,31,
3,never_china_top_control,SWE,Sweden,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,SWZ,Eswatini,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,SYC,Seychelles,1990,2023,31,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,31,
3,never_china_top_control,SYR,Syria,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,TGO,Togo,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,TJK,Tajikistan,1992,2023,30,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,30,
3,never_china_top_control,TON,Tonga,1999,2023,24,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,24,
3,never_china_top_control,TTO,Trinidad & Tobago,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,TUN,Tunisia,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,TUR,Turkey,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,TUV,Tuvalu,2001,2023,22,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,22,
3,never_china_top_control,UGA,Uganda,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,USA,United States,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,VCT,St. Vincent & Grenadines,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,VUT,Vanuatu,1990,2023,32,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,32,
3,never_china_top_control,WSM,Samoa,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,AFG,Afghanistan,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,ALB,Albania,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,AND,Andorra,1993,2023,30,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,30,
3,never_china_top_control,ARE,United Arab Emirates,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,ARG,Argentina,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,ATG,Antigua & Barbuda,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,AUT,Austria,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,AZE,Azerbaijan,1991,2023,31,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,31,
3,never_china_top_control,BDI,Burundi,1990,2023,32,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,32,
3,never_china_top_control,BEL,Belgium,1990,2023,24,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,24,
3,never_china_top_control,BGD,Bangladesh,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,BGR,Bulgaria,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,BHR,Bahrain,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,BHS,Bahamas,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,BIH,Bosnia & Herzegovina,1991,2023,29,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,29,
3,never_china_top_control,BLR,Belarus,1990,2023,31,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,31,
3,never_china_top_control,BLZ,Belize,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,BOL,Bolivia,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,BRB,Barbados,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,BRN,Brunei,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,BTN,Bhutan,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,BWA,Botswana,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,CAN,Canada,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,CHE,Switzerland,2002,2023,21,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,21,
3,never_china_top_control,CIV,Côte d’Ivoire,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,COL,Colombia,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,COM,Comoros,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,CPV,Cape Verde,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,CRI,Costa Rica,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,CYP,Cyprus,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
