iso3c,old_country_name,old_in_estimation,old_n_obs,old_ever_treated,old_treated_years,old_first_treat,new_country_name,new_in_estimation,new_n_obs,new_ever_treated,new_treated_years,new_first_treat,country_name,classification_change
SYR,Syria,TRUE,33,FALSE,0,,Syria,TRUE,33,FALSE,0,,Syria,unchanged
TGO,Togo,TRUE,33,FALSE,0,,Togo,TRUE,33,FALSE,0,,Togo,unchanged
THA,Thailand,TRUE,32,TRUE,14,2008,Thailand,TRUE,32,TRUE,14,2008,Thailand,unchanged
TJK,Tajikistan,TRUE,30,FALSE,0,,Tajikistan,TRUE,30,FALSE,0,,Tajikistan,unchanged
TKM,Turkmenistan,TRUE,31,TRUE,13,2010,Turkmenistan,TRUE,31,TRUE,13,2010,Turkmenistan,unchanged
TON,Tonga,TRUE,24,FALSE,0,,Tonga,TRUE,24,FALSE,0,,Tonga,unchanged
TTO,Trinidad & Tobago,TRUE,33,FALSE,0,,Trinidad & Tobago,TRUE,33,FALSE,0,,Trinidad & Tobago,unchanged
TUN,Tunisia,TRUE,33,FALSE,0,,Tunisia,TRUE,33,FALSE,0,,Tunisia,unchanged
TUR,Turkey,TRUE,33,FALSE,0,,Turkey,TRUE,33,FALSE,0,,Turkey,unchanged
TUV,Tuvalu,TRUE,22,FALSE,0,,Tuvalu,TRUE,22,FALSE,0,,Tuvalu,unchanged
UGA,Uganda,TRUE,33,FALSE,0,,Uganda,TRUE,33,FALSE,0,,Uganda,unchanged
URY,Uruguay,TRUE,33,TRUE,10,2013,Uruguay,TRUE,33,TRUE,10,2013,Uruguay,unchanged
USA,United States,TRUE,33,FALSE,0,,United States,TRUE,33,FALSE,0,,United States,unchanged
VCT,St. Vincent & Grenadines,TRUE,33,FALSE,0,,St. Vincent & Grenadines,TRUE,33,FALSE,0,,St. Vincent & Grenadines,unchanged
VUT,Vanuatu,TRUE,32,FALSE,0,,Vanuatu,TRUE,32,FALSE,0,,Vanuatu,unchanged
WSM,Samoa,TRUE,33,FALSE,0,,Samoa,TRUE,33,FALSE,0,,Samoa,unchanged
ZAF,South Africa,TRUE,29,TRUE,14,2009,South Africa,TRUE,29,TRUE,14,2009,South Africa,unchanged
ZWE,Zimbabwe,TRUE,28,TRUE,7,2011,Zimbabwe,TRUE,28,TRUE,7,2011,Zimbabwe,unchanged
