metric,iso3c,country_name,year,partner_iso3,partner_name,value_musd,partner_rank
goods_exports_rank,BRA,Brazil,2011,JPN,Japan,12661.047183,5
goods_exports_rank,BRA,Brazil,2012,CHN,China,52306.62850299999,1
goods_exports_rank,BRA,Brazil,2012,USA,United States,31229.73001899999,2
goods_exports_rank,BRA,Brazil,2012,JPN,Japan,11894.332860999999,5
goods_exports_rank,BRA,Brazil,2013,CHN,China,54305.893072,1
goods_exports_rank,BRA,Brazil,2013,USA,United States,26556.43357700001,2
goods_exports_rank,BRA,Brazil,2013,JPN,Japan,11124.587751000001,4
goods_exports_rank,BRA,Brazil,2014,CHN,China,51660.56198199999,1
goods_exports_rank,BRA,Brazil,2014,USA,United States,28727.894610000014,2
goods_exports_rank,BRA,Brazil,2014,JPN,Japan,9660.584640000001,5
goods_exports_rank,BRA,Brazil,2015,CHN,China,44100.00454700001,1
goods_exports_rank,BRA,Brazil,2015,USA,United States,25773.024750000008,2
goods_exports_rank,BRA,Brazil,2015,JPN,Japan,7508.226275999999,5
goods_exports_rank,BRA,Brazil,2016,CHN,China,45881.969343000004,1
goods_exports_rank,BRA,Brazil,2016,USA,United States,23450.502497000012,2
goods_exports_rank,BRA,Brazil,2016,JPN,Japan,6724.191427000002,5
goods_exports_rank,BRA,Brazil,2017,CHN,China,58882.62480600001,1
goods_exports_rank,BRA,Brazil,2017,USA,United States,27045.738466999985,2
goods_exports_rank,BRA,Brazil,2017,JPN,Japan,7157.952050999999,5
goods_exports_rank,BRA,Brazil,2018,CHN,China,77599.38629799998,1
goods_exports_rank,BRA,Brazil,2018,USA,United States,28520.86151899999,2
goods_exports_rank,BRA,Brazil,2018,JPN,Japan,6886.016836,5
goods_exports_rank,BRA,Brazil,2019,CHN,China,80082.492956,1
goods_exports_rank,BRA,Brazil,2019,USA,United States,29412.128562999995,2
goods_exports_rank,BRA,Brazil,2019,JPN,Japan,7975.6711030000015,4
goods_exports_rank,BRA,Brazil,2020,CHN,China,85591.66834799999,1
goods_exports_rank,BRA,Brazil,2020,USA,United States,22672.054601999997,2
goods_exports_rank,BRA,Brazil,2020,JPN,Japan,7495.186036000004,4
goods_exports_rank,BRA,Brazil,2021,CHN,China,110074.05437300004,1
goods_exports_rank,BRA,Brazil,2021,USA,United States,31024.785784,2
goods_exports_rank,BRA,Brazil,2021,JPN,Japan,9875.159384999997,4
goods_exports_rank,BRA,Brazil,2022,CHN,China,99473.470613,1
goods_exports_rank,BRA,Brazil,2022,USA,United States,38369.68510799999,2
goods_exports_rank,BRA,Brazil,2022,JPN,Japan,9882.452023,4
goods_services_exports_rank,BRA,Brazil,2005,USA,United States,28531.736306999996,1
goods_services_exports_rank,BRA,Brazil,2005,CHN,China,10383.786992,3
goods_services_exports_rank,BRA,Brazil,2005,JPN,Japan,4824.988378000001,6
goods_services_exports_rank,BRA,Brazil,2006,USA,United States,31785.155858,1
goods_services_exports_rank,BRA,Brazil,2006,CHN,China,13377.024820000004,2
goods_services_exports_rank,BRA,Brazil,2006,JPN,Japan,5508.378705000002,5
goods_services_exports_rank,BRA,Brazil,2007,USA,United States,32160.836456999998,1
goods_services_exports_rank,BRA,Brazil,2007,CHN,China,18926.996015999997,2
goods_services_exports_rank,BRA,Brazil,2007,JPN,Japan,6484.484728999999,5
goods_services_exports_rank,BRA,Brazil,2008,USA,United States,38382.64076099999,1
goods_services_exports_rank,BRA,Brazil,2008,CHN,China,30585.663401999984,2
goods_services_exports_rank,BRA,Brazil,2008,JPN,Japan,9677.110544999998,5
goods_services_exports_rank,BRA,Brazil,2009,CHN,China,29005.05426099999,1
goods_services_exports_rank,BRA,Brazil,2009,USA,United States,27168.710887999994,2
goods_services_exports_rank,BRA,Brazil,2009,JPN,Japan,6861.329057000001,6
goods_services_exports_rank,BRA,Brazil,2010,CHN,China,38858.045094999994,1
goods_services_exports_rank,BRA,Brazil,2010,USA,United States,32048.075859000008,2
goods_services_exports_rank,BRA,Brazil,2010,JPN,Japan,10358.494783000002,5
goods_services_exports_rank,BRA,Brazil,2011,CHN,China,53380.84700699998,1
goods_services_exports_rank,BRA,Brazil,2011,USA,United States,39709.379693,2
goods_services_exports_rank,BRA,Brazil,2011,JPN,Japan,13206.118796,5
goods_services_exports_rank,BRA,Brazil,2012,CHN,China,53357.57938799999,1
goods_services_exports_rank,BRA,Brazil,2012,USA,United States,40593.70682399999,2
goods_services_exports_rank,BRA,Brazil,2012,JPN,Japan,12467.823781,5
goods_services_exports_rank,BRA,Brazil,2013,CHN,China,55572.100142999996,1
goods_services_exports_rank,BRA,Brazil,2013,USA,United States,35331.24222300001,2
goods_services_exports_rank,BRA,Brazil,2013,JPN,Japan,11653.061141000002,5
