specification,weight_rank,iso3c,country_name,unit_weight
predetermined_plus_primary_level,17,ARG,Argentina,0.016453859968024967
predetermined_plus_primary_level,18,PNG,Papua New Guinea,0.016240331435217532
predetermined_plus_primary_level,19,ISL,Iceland,0.01621876124850198
predetermined_plus_primary_level,20,CYP,Cyprus,0.016209331209934626
predetermined_plus_primary_level,21,BRB,Barbados,0.01576912190475288
predetermined_plus_primary_level,22,HTI,Haiti,0.015727300410263392
predetermined_plus_primary_level,23,HUN,Hungary,0.015481115834185684
predetermined_plus_primary_level,24,KEN,Kenya,0.015413132380473676
predetermined_plus_primary_level,25,NOR,Norway,0.015275418557308509
predetermined_plus_primary_level,26,SUR,Suriname,0.015049980394094152
predetermined_plus_primary_level,27,TTO,Trinidad & Tobago,0.01445010268379496
predetermined_plus_primary_level,28,DNK,Denmark,0.013803575388387373
predetermined_plus_primary_level,29,NIC,Nicaragua,0.013675606646570682
predetermined_plus_primary_level,30,LTU,Lithuania,0.013675588502957177
predetermined_plus_primary_level,31,TUN,Tunisia,0.013590272887198353
predetermined_plus_primary_level,32,HRV,Croatia,0.01353836512612314
predetermined_plus_primary_level,33,POL,Poland,0.01352425591218542
predetermined_plus_primary_level,34,PAK,Pakistan,0.013154964322860391
predetermined_plus_primary_level,35,EST,Estonia,0.013013710803914247
predetermined_plus_primary_level,36,SLV,El Salvador,0.012787820438840433
predetermined_plus_primary_level,37,JAM,Jamaica,0.01264542173615161
predetermined_plus_primary_level,38,TGO,Togo,0.01172235112022476
predetermined_plus_primary_level,39,MDV,Maldives,0.011608505141629916
predetermined_plus_primary_level,40,LBN,Lebanon,0.01154815933591714
predetermined_plus_primary_level,41,LVA,Latvia,0.011423971987132648
predetermined_plus_primary_level,42,ESP,Spain,0.011132678487376379
predetermined_plus_primary_level,43,SVN,Slovenia,0.010687692631309084
predetermined_plus_primary_level,44,BGR,Bulgaria,0.010511425884568427
predetermined_plus_primary_level,45,MUS,Mauritius,0.010493689549936609
predetermined_plus_primary_level,46,JOR,Jordan,0.010471649908572415
predetermined_plus_primary_level,47,ROU,Romania,0.010394121927618342
predetermined_plus_primary_level,48,AUT,Austria,0.010123829055123325
predetermined_plus_primary_level,49,GUY,Guyana,0.01005418200393799
predetermined_plus_primary_level,50,CZE,Czechia,0.009954709455066619
predetermined_plus_primary_level,51,DZA,Algeria,0.009877406220523438
predetermined_plus_primary_level,52,QAT,Qatar,0.009683982023398716
predetermined_plus_primary_level,53,NAM,Namibia,0.009248775090940641
predetermined_plus_primary_level,54,SWE,Sweden,0.00916976880300353
