specification,year_end,iso3c,estimate,rmspe_pre,status,error
predetermined_core,2015,ESP,-0.025284173320329242,0.03897042268160018,estimated,
predetermined_core,2015,EST,0.03305993401212453,0.0341901804130353,estimated,
predetermined_core,2015,FIN,-0.03256498671661518,0.053313268712958044,estimated,
predetermined_core,2015,FJI,-0.16488436019544173,0.17506488892174782,estimated,
predetermined_core,2015,FRA,-0.11198402943427332,0.061529643883983916,estimated,
predetermined_core,2015,GAB,0.2057499348685554,0.05954121438409904,estimated,
predetermined_core,2015,GBR,-0.014851766091099675,0.07114098741618248,estimated,
predetermined_core,2015,GEO,0.09382612425458307,0.11243631311308323,estimated,
predetermined_core,2015,GHA,-0.0620693257913115,0.08898344608073243,estimated,
predetermined_core,2015,GIN,-0.01612277197126973,0.07173677540231095,estimated,
predetermined_core,2015,GRC,-0.3194845498350402,0.04026754673658503,estimated,
predetermined_core,2015,GTM,-0.09533175669078427,0.06201327727839527,estimated,
predetermined_core,2015,GUY,-0.010211051580809193,0.042854286608751124,estimated,
predetermined_core,2015,HRV,-0.0039465987041191345,0.05577627982487756,estimated,
predetermined_core,2015,HTI,-0.11521554811869705,0.2357740418828925,estimated,
predetermined_core,2015,HUN,-0.012092014001015526,0.04813416308232093,estimated,
predetermined_core,2015,IND,-0.019196360860293256,0.16795727528729182,estimated,
