metric,metric_label,iso3c,country_name,years_compared,top1_agreement_rate,top2_unordered_agreement_rate,china_top1_status_disagreements_n,china_in_top2_status_disagreements_n,china_in_top2_any_year
goods_services_exports_combined,Bens + serviços: exportações,TZA,Tanzania,8,1,0.5,0,2,TRUE
goods_services_exports_combined,Bens + serviços: exportações,VUT,Vanuatu,8,1,0.5,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,ARG,Argentina,8,1,0.625,0,2,TRUE
goods_services_exports_combined,Bens + serviços: exportações,PRY,Paraguay,8,1,0.625,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,BEN,Benin,8,1,0.75,0,1,TRUE
goods_services_exports_combined,Bens + serviços: exportações,BGR,Bulgaria,8,1,0.75,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,CYP,Cyprus,8,1,0.75,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,EGY,Egypt,8,1,0.75,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,FRA,France,8,1,0.75,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,OMN,Oman,8,1,0.75,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,POL,Poland,8,1,0.75,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,SWE,Sweden,8,1,0.75,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,TLS,Timor-Leste,8,1,0.75,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,TUR,Turkey,8,1,0.75,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,UKR,Ukraine,8,1,0.75,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,ARE,United Arab Emirates,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,BHS,Bahamas,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,BTN,Bhutan,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,BWA,Botswana,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,CMR,Cameroon,8,1,0.875,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,CRI,Costa Rica,8,1,0.875,0,1,TRUE
goods_services_exports_combined,Bens + serviços: exportações,DOM,Dominican Republic,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,ESP,Spain,8,1,0.875,0,0,FALSE
