iso3c,rcid,year,issue_domain,brazil,post_2009,observation_weight,fwl_residual,ddd_outcome_weight
SUR,4731,2006,Human rights,0,0,1,0.0035098269108803917,1.1218089827586019e-4
SVK,4731,2006,Human rights,0,0,1,0.0035486060375868006,1.1342035463047202e-4
SVN,4731,2006,Human rights,0,0,1,0.003548120737359007,1.134048434907863e-4
SWE,4731,2006,Human rights,0,0,1,0.0035570475651244254,1.1369016227798181e-4
SWZ,4731,2006,Human rights,0,0,1,0.0036162992051801163,1.1558395999921988e-4
TGO,4731,2006,Human rights,0,0,1,0.003490617721451619,1.1156693520019092e-4
TTO,4731,2006,Human rights,0,0,1,0.0035496600649223284,1.1345404339527701e-4
TUN,4731,2006,Human rights,0,0,1,0.003568627288330662,1.1406027276606157e-4
TUR,4731,2006,Human rights,0,0,1,0.003530078936256319,1.1282819241778331e-4
UGA,4731,2006,Human rights,0,0,1,0.003510339884128127,1.1219729389911559e-4
UKR,4731,2006,Human rights,0,0,1,0.00356703268419923,1.1400930611488459e-4
VEN,4731,2006,Human rights,0,0,1,0.0035442337855557957,1.1328060894705782e-4
ALB,4732,2006,Human rights,0,0,1,0.0034861183270954586,1.1142312580064285e-4
ARE,4732,2006,Human rights,0,0,1,0.0035229948957976034,1.1260177269901664e-4
ARG,4732,2006,Human rights,0,0,1,0.0035084561123015136,1.1213708488567359e-4
AUT,4732,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
AZE,4732,2006,Human rights,0,0,1,0.0035287381054302184,1.1278533685529343e-4
BGD,4732,2006,Human rights,0,0,1,0.0035199630395869224,1.1250486867446116e-4
BGR,4732,2006,Human rights,0,0,1,0.0035481289443485106,1.1340510580214183e-4
BHR,4732,2006,Human rights,0,0,1,0.0035059456881563218,1.1205684684464997e-4
BLR,4732,2006,Human rights,0,0,1,0.0035137363869063246,1.1230585273757953e-4
BOL,4732,2006,Human rights,0,0,1,0.003544312198067308,1.1328311516351831e-4
BRA,4732,2006,Human rights,1,0,1,-0.32603805657499485,-0.010420810765715011
BRB,4732,2006,Human rights,0,0,1,0.003490644545983404,1.1156779256442793e-4
BTN,4732,2006,Human rights,0,0,1,0.003450109029387193,1.1027219857096278e-4
BWA,4732,2006,Human rights,0,0,1,0.0034009213929905475,1.0870006599145105e-4
CAN,4732,2006,Human rights,0,0,1,0.0035090420330112556,1.1215581205177217e-4
CIV,4732,2006,Human rights,0,0,1,0.003363145021325246,1.0749265963933744e-4
COL,4732,2006,Human rights,0,0,1,0.0035005755965868035,1.1188520826776611e-4
COM,4732,2006,Human rights,0,0,1,0.0034923276819621572,1.1162158886573031e-4
CPV,4732,2006,Human rights,0,0,1,0.003525065158080508,1.1266794231035642e-4
CRI,4732,2006,Human rights,0,0,1,0.00350500783289934,1.1202687116554887e-4
CYP,4732,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
CZE,4732,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
DEU,4732,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
DNK,4732,2006,Human rights,0,0,1,0.0035090420330112556,1.1215581205177217e-4
DOM,4732,2006,Human rights,0,0,1,0.0035209713598300073,1.125370965516446e-4
DZA,4732,2006,Human rights,0,0,1,0.003511546422558437,1.122358572152999e-4
ECU,4732,2006,Human rights,0,0,1,0.0035064976687566836,1.1207448921880452e-4
EGY,4732,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
ESP,4732,2006,Human rights,0,0,1,0.003519075648167535,1.1247650591781336e-4
EST,4732,2006,Human rights,0,0,1,0.003518003699994385,1.1244224436816362e-4
FIN,4732,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
FJI,4732,2006,Human rights,0,0,1,0.003446699281850372,1.1016321640423863e-4
FRA,4732,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
GAB,4732,2006,Human rights,0,0,1,0.0035648258403710234,1.1393877109156612e-4
GBR,4732,2006,Human rights,0,0,1,0.0035220177487937424,1.1257054117922264e-4
GEO,4732,2006,Human rights,0,0,1,0.003503306473736632,1.1197249241582455e-4
GHA,4732,2006,Human rights,0,0,1,0.003445515775360885,1.1012538923370369e-4
GIN,4732,2006,Human rights,0,0,1,0.003491280018825936,1.1158810351312006e-4
GRC,4732,2006,Human rights,0,0,1,0.003515546687201122,1.1236371345788738e-4
GTM,4732,2006,Human rights,0,0,1,0.003507409034257678,1.1210361823375458e-4
GUY,4732,2006,Human rights,0,0,1,0.003506435201962239,1.1207249265849224e-4
HRV,4732,2006,Human rights,0,0,1,0.003508307383458987,1.1213233122243667e-4
HTI,4732,2006,Human rights,0,0,1,0.003486497907483262,1.1143525792850923e-4
HUN,4732,2006,Human rights,0,0,1,0.0035177023184675975,1.1243261162807209e-4
IND,4732,2006,Human rights,0,0,1,0.0035149848081128046,1.1234575470879509e-4
IRL,4732,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
ISL,4732,2006,Human rights,0,0,1,0.0035090420330112556,1.1215581205177217e-4
ISR,4732,2006,Human rights,0,0,1,0.003507010622589561,1.1209088422152328e-4
ITA,4732,2006,Human rights,0,0,1,0.003513048526693189,1.1228386738657586e-4
JAM,4732,2006,Human rights,0,0,1,0.0035117224885320574,1.1224148462644525e-4
JOR,4732,2006,Human rights,0,0,1,0.0035188044967174115,1.1246783938980044e-4
KEN,4732,2006,Human rights,0,0,1,0.003466510360712106,1.1079641703747605e-4
KWT,4732,2006,Human rights,0,0,1,0.003492162408377587,1.1161630640034125e-4
LBN,4732,2006,Human rights,0,0,1,0.003472818924096601,1.1099805099985436e-4
LBY,4732,2006,Human rights,0,0,1,0.0035272139060209488,1.1273662047604596e-4
LKA,4732,2006,Human rights,0,0,1,0.0035267104768370383,1.1272052989964339e-4
LTU,4732,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
LVA,4732,2006,Human rights,0,0,1,0.003513403364906565,1.1229520870639872e-4
MAR,4732,2006,Human rights,0,0,1,0.0035056536279893394,1.120475120333574e-4
MDA,4732,2006,Human rights,0,0,1,0.0034831346282901974,1.1132776098047999e-4
MDG,4732,2006,Human rights,0,0,1,0.0034135914064142387,1.0910502427661057e-4
MDV,4732,2006,Human rights,0,0,1,0.003522471354486561,1.1258503929989226e-4
MEX,4732,2006,Human rights,0,0,1,0.0035073843271778505,1.1210282854740274e-4
MUS,4732,2006,Human rights,0,0,1,0.003520876889953602,1.1253407711055414e-4
MWI,4732,2006,Human rights,0,0,1,0.0035160126019551387,1.1237860500010661e-4
NAM,4732,2006,Human rights,0,0,1,0.003595559575370196,1.1492108107069685e-4
NGA,4732,2006,Human rights,0,0,1,0.0034938941581371123,1.1167165649268065e-4
NIC,4732,2006,Human rights,0,0,1,0.003474864702046547,1.1106343804426571e-4
NLD,4732,2006,Human rights,0,0,1,0.0035090420330112556,1.1215581205177217e-4
NOR,4732,2006,Human rights,0,0,1,0.0035104766919527176,1.1220166654342068e-4
PAK,4732,2006,Human rights,0,0,1,0.003510495450284785,1.122022660962177e-4
PAN,4732,2006,Human rights,0,0,1,0.0034910011458649574,1.1157919019059397e-4
PNG,4732,2006,Human rights,0,0,1,0.0034715337470386503,1.1095697424009806e-4
POL,4732,2006,Human rights,0,0,1,0.0035121008281046116,1.1225357709544162e-4
PRT,4732,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
PRY,4732,2006,Human rights,0,0,1,0.0035105730181017565,1.1220474531459688e-4
QAT,4732,2006,Human rights,0,0,1,0.003512305542498961,1.1226012016586397e-4
ROU,4732,2006,Human rights,0,0,1,0.003521129961353915,1.1254216576499092e-4
RWA,4732,2006,Human rights,0,0,1,0.0036343195043409106,1.1615992382831667e-4
SEN,4732,2006,Human rights,0,0,1,0.003507852184580977,1.1211778218046796e-4
SGP,4732,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
SLV,4732,2006,Human rights,0,0,1,0.00349038451976311,1.1155948162041032e-4
SUR,4732,2006,Human rights,0,0,1,0.00347074820653264,1.1093186683684604e-4
SVK,4732,2006,Human rights,0,0,1,0.0035095273332390485,1.1217132319145786e-4
SVN,4732,2006,Human rights,0,0,1,0.0035090420330112556,1.1215581205177217e-4
SWE,4732,2006,Human rights,0,0,1,0.0035179688607766737,1.1244113083896765e-4
SWZ,4732,2006,Human rights,0,0,1,0.0035772205008323646,1.1433492856020573e-4
TGO,4732,2006,Human rights,0,0,1,0.0034515390171038674,1.1031790376117677e-4
TTO,4732,2006,Human rights,0,0,1,0.0035105813605745767,1.1220501195626284e-4
TUN,4732,2006,Human rights,0,0,1,0.0035295485839829097,1.128112413270474e-4
TUR,4732,2006,Human rights,0,0,1,0.0034910002319085676,1.1157916097876917e-4
UGA,4732,2006,Human rights,0,0,1,0.0034712611797803753,1.1094826246010142e-4
UKR,4732,2006,Human rights,0,0,1,0.003527953979851479,1.1276027467587045e-4
VEN,4732,2006,Human rights,0,0,1,0.003505155081208044,1.1203157750804366e-4
ALB,4733,2006,Non-human rights,0,0,1,-0.0013608942690825467,-4.349682917151491e-5
ARE,4733,2006,Non-human rights,0,0,1,-0.001324017700380402,-4.23181822731411e-5
ARG,4733,2006,Non-human rights,0,0,1,-0.001338556483876492,-4.278287008648416e-5
AUT,4733,2006,Non-human rights,0,0,1,-0.0013322391964631277,-4.258095728716603e-5
AZE,4733,2006,Non-human rights,0,0,1,-0.0013182744907477867,-4.213461811686431e-5
BGD,4733,2006,Non-human rights,0,0,1,-0.0013270495565910832,-4.2415086297696595e-5
BGR,4733,2006,Non-human rights,0,0,1,-0.0012988836518294951,-4.151484917001593e-5
BHR,4733,2006,Non-human rights,0,0,1,-0.0013410669080216832,-4.286310812750777e-5
BLR,4733,2006,Non-human rights,0,0,1,-0.0013332762092716807,-4.261410223457823e-5
BOL,4733,2006,Non-human rights,0,0,1,-0.0013027003981106974,-4.1636839808639445e-5
BRA,4733,2006,Non-human rights,1,0,1,0.12473411486955999,0.003986745046695671
BRB,4733,2006,Non-human rights,0,0,1,-0.0013563680501946012,-4.3352162407729817e-5
BTN,4733,2006,Non-human rights,0,0,1,-0.0013969035667908125,-4.464775640119498e-5
BWA,4733,2006,Non-human rights,0,0,1,-0.0014460912031874574,-4.621988898070669e-5
CAN,4733,2006,Non-human rights,0,0,1,-0.0013379705631667504,-4.276414292038561e-5
CIV,4733,2006,Non-human rights,0,0,1,-0.0014838675748527598,-4.742729533282033e-5
COL,4733,2006,Non-human rights,0,0,1,-0.0013464369995912022,-4.303474670439165e-5
COM,4733,2006,Non-human rights,0,0,1,-0.0013546849142158479,-4.3298366106427426e-5
CPV,4733,2006,Non-human rights,0,0,1,-0.0013219474380974981,-4.225201266180135e-5
CRI,4733,2006,Non-human rights,0,0,1,-0.001342004763278665,-4.289308380660887e-5
CYP,4733,2006,Non-human rights,0,0,1,-0.0013322391964631277,-4.258095728716603e-5
CZE,4733,2006,Non-human rights,0,0,1,-0.0013322391964631277,-4.258095728716603e-5
DEU,4733,2006,Non-human rights,0,0,1,-0.0013322391964631277,-4.258095728716603e-5
DNK,4733,2006,Non-human rights,0,0,1,-0.0013379705631667504,-4.276414292038561e-5
DOM,4733,2006,Non-human rights,0,0,1,-0.0013260412363479987,-4.238285842051317e-5
DZA,4733,2006,Non-human rights,0,0,1,-0.0013354661736195677,-4.2684097756857825e-5
ECU,4733,2006,Non-human rights,0,0,1,-0.001340514927421322,-4.2845465753353244e-5
EGY,4733,2006,Non-human rights,0,0,1,-0.0013322391964631277,-4.258095728716603e-5
ESP,4733,2006,Non-human rights,0,0,1,-0.0013279369480104705,-4.244344905434438e-5
EST,4733,2006,Non-human rights,0,0,1,-0.0013290088961836197,-4.2477710603994104e-5
FIN,4733,2006,Non-human rights,0,0,1,-0.0013322391964631277,-4.258095728716603e-5
FJI,4733,2006,Non-human rights,0,0,1,-0.0014003133143276332,-4.475673856791912e-5
FRA,4733,2006,Non-human rights,0,0,1,-0.0013322391964631277,-4.258095728716603e-5
GAB,4733,2006,Non-human rights,0,0,1,-0.0012821867558069822,-4.098118388059164e-5
GBR,4733,2006,Non-human rights,0,0,1,-0.0013249948473842625,-4.2349413792935095e-5
GEO,4733,2006,Non-human rights,0,0,1,-0.0013437061224413737,-4.294746255633321e-5
GHA,4733,2006,Non-human rights,0,0,1,-0.00140149682081712,-4.479456573845404e-5
GIN,4733,2006,Non-human rights,0,0,1,-0.00135573257735207,-4.3331851459037705e-5
GRC,4733,2006,Non-human rights,0,0,1,-0.0013314659089768831,-4.2556241514270365e-5
GTM,4733,2006,Non-human rights,0,0,1,-0.0013396035619203282,-4.281633673840319e-5
GUY,4733,2006,Non-human rights,0,0,1,-0.001340577394215766,-4.28474623136655e-5
HRV,4733,2006,Non-human rights,0,0,1,-0.0013387052127190185,-4.278762374972107e-5
HTI,4733,2006,Non-human rights,0,0,1,-0.0013605146886947433,-4.348469704364852e-5
HUN,4733,2006,Non-human rights,0,0,1,-0.0013293102777104074,-4.248734334408564e-5
IND,4733,2006,Non-human rights,0,0,1,-0.0013320277880652,-4.2574200263362645e-5
IRL,4733,2006,Non-human rights,0,0,1,-0.0013322391964631277,-4.258095728716603e-5
ISL,4733,2006,Non-human rights,0,0,1,-0.0013379705631667504,-4.276414292038561e-5
ISR,4733,2006,Non-human rights,0,0,1,-0.0013400019735884444,-4.282907075063448e-5
ITA,4733,2006,Non-human rights,0,0,1,-0.0013339640694848159,-4.263608758558187e-5
JAM,4733,2006,Non-human rights,0,0,1,-0.0013352901076459484,-4.267847034571251e-5
JOR,4733,2006,Non-human rights,0,0,1,-0.0013282080994605934,-4.245211558235729e-5
KEN,4733,2006,Non-human rights,0,0,1,-0.0013805022354658994,-4.41235379346817e-5
KWT,4733,2006,Non-human rights,0,0,1,-0.0013548501878004186,-4.330364857181651e-5
LBN,4733,2006,Non-human rights,0,0,1,-0.0013741936720814045,-4.392190397230339e-5
LBY,4733,2006,Non-human rights,0,0,1,-0.0013197986901570572,-4.2183334496111805e-5
LKA,4733,2006,Non-human rights,0,0,1,-0.0013203021193409672,-4.219942507251437e-5
LTU,4733,2006,Non-human rights,0,0,1,-0.0013322391964631277,-4.258095728716603e-5
LVA,4733,2006,Non-human rights,0,0,1,-0.0013336092312714403,-4.262474626575904e-5
MAR,4733,2006,Non-human rights,0,0,1,-0.001341358968188666,-4.2872442938800356e-5
MDA,4733,2006,Non-human rights,0,0,1,-0.0013638779678878078,-4.359219399167775e-5
MDG,4733,2006,Non-human rights,0,0,1,-0.0014334211897637668,-4.5814930695547186e-5
MDV,4733,2006,Non-human rights,0,0,1,-0.0013245412416914445,-4.2334915672265494e-5
MEX,4733,2006,Non-human rights,0,0,1,-0.0013396282690001553,-4.281712642475502e-5
MUS,4733,2006,Non-human rights,0,0,1,-0.0013261357062244025,-4.238587786160359e-5
MWI,4733,2006,Non-human rights,0,0,1,-0.0013309999942228666,-4.254134997205114e-5
NAM,4733,2006,Non-human rights,0,0,1,-0.0012514530208078097,-3.9998873901460906e-5
NGA,4733,2006,Non-human rights,0,0,1,-0.001353118438040893,-4.32482984794771e-5
NIC,4733,2006,Non-human rights,0,0,1,-0.0013721478941314588,-4.385651692789205e-5
NLD,4733,2006,Non-human rights,0,0,1,-0.0013379705631667504,-4.276414292038561e-5
NOR,4733,2006,Non-human rights,0,0,1,-0.0013365359042252882,-4.2718288428737084e-5
PAK,4733,2006,Non-human rights,0,0,1,-0.0013365171458932206,-4.271768887594006e-5
PAN,4733,2006,Non-human rights,0,0,1,-0.0013560114503130475,-4.334076478156376e-5
PNG,4733,2006,Non-human rights,0,0,1,-0.001375478849139355,-4.396298073205969e-5
POL,4733,2006,Non-human rights,0,0,1,-0.0013349117680733936,-4.2666377876716125e-5
PRT,4733,2006,Non-human rights,0,0,1,-0.0013322391964631277,-4.258095728716603e-5
PRY,4733,2006,Non-human rights,0,0,1,-0.001336439578076249,-4.2715209657560884e-5
QAT,4733,2006,Non-human rights,0,0,1,-0.0013347070536790437,-4.265983480629377e-5
ROU,4733,2006,Non-human rights,0,0,1,-0.0013258826348240904,-4.237778920716683e-5
RWA,4733,2006,Non-human rights,0,0,1,-0.0012126930918370952,-3.876003114384109e-5
SEN,4733,2006,Non-human rights,0,0,1,-0.0013391604115970286,-4.280217279168979e-5
SGP,4733,2006,Non-human rights,0,0,1,-0.0013322391964631277,-4.258095728716603e-5
SLV,4733,2006,Non-human rights,0,0,1,-0.001356628076414895,-4.3360473351747425e-5
SUR,4733,2006,Non-human rights,0,0,1,-0.0013762643896453651,-4.398808813531171e-5
SVK,4733,2006,Non-human rights,0,0,1,-0.0013374852629389567,-4.2748631780699884e-5
SVN,4733,2006,Non-human rights,0,0,1,-0.0013379705631667504,-4.276414292038561e-5
SWE,4733,2006,Non-human rights,0,0,1,-0.0013290437354013312,-4.2478824133190086e-5
SWZ,4733,2006,Non-human rights,0,0,1,-0.001269792095345641,-4.058502641195203e-5
TGO,4733,2006,Non-human rights,0,0,1,-0.0013954735790741378,-4.4602051210980976e-5
TTO,4733,2006,Non-human rights,0,0,1,-0.0013364312356034286,-4.27149430158949e-5
TUN,4733,2006,Non-human rights,0,0,1,-0.0013174640121950956,-4.210871364511034e-5
TUR,4733,2006,Non-human rights,0,0,1,-0.0013560123642694373,-4.334079399338856e-5
UGA,4733,2006,Non-human rights,0,0,1,-0.00137575141639763,-4.397169251205633e-5
UKR,4733,2006,Non-human rights,0,0,1,-0.0013190586163265262,-4.215968029628729e-5
VEN,4733,2006,Non-human rights,0,0,1,-0.0013418575149699615,-4.28883774641141e-5
ALB,4734,2006,Human rights,0,0,1,0.0035626051493412476,1.1386779348473853e-4
ARE,4734,2006,Human rights,0,0,1,0.003599481718043392,1.1504644038311231e-4
ARG,4734,2006,Human rights,0,0,1,0.003584942934547302,1.1458175256976926e-4
AUT,4734,2006,Human rights,0,0,1,0.0035912602219606658,1.1478366536908737e-4
AZE,4734,2006,Human rights,0,0,1,0.003605224927676007,1.152300045393891e-4
BGD,4734,2006,Human rights,0,0,1,0.0035964498618327114,1.1494953635855684e-4
BGR,4734,2006,Human rights,0,0,1,0.0036246157665942996,1.1584977348623751e-4
BHR,4734,2006,Human rights,0,0,1,0.0035824325104021103,1.1450151452874564e-4
BLR,4734,2006,Human rights,0,0,1,0.003590223209152113,1.147505204216752e-4
BOL,4734,2006,Human rights,0,0,1,0.003620799020313097,1.1572778284761399e-4
BRA,4734,2006,Human rights,1,0,1,-0.32596156975274904,-0.010418366098030915
BRB,4734,2006,Human rights,0,0,1,0.003567131368229193,1.1401246024852361e-4
BTN,4734,2006,Human rights,0,0,1,0.0035265958516329816,1.1271686625505844e-4
BWA,4734,2006,Human rights,0,0,1,0.0034774082152363365,1.1114473367554673e-4
CAN,4734,2006,Human rights,0,0,1,0.003585528855257044,1.1460047973586783e-4
CIV,4734,2006,Human rights,0,0,1,0.0034396318435710345,1.099373273234331e-4
COL,4734,2006,Human rights,0,0,1,0.0035770624188325925,1.143298759518618e-4
COM,4734,2006,Human rights,0,0,1,0.003568814504207946,1.1406625654982598e-4
CRI,4734,2006,Human rights,0,0,1,0.0035814946551451284,1.1447153884964453e-4
CYP,4734,2006,Human rights,0,0,1,0.0035912602219606658,1.1478366536908737e-4
CZE,4734,2006,Human rights,0,0,1,0.0035912602219606658,1.1478366536908737e-4
DEU,4734,2006,Human rights,0,0,1,0.0035912602219606658,1.1478366536908737e-4
DNK,4734,2006,Human rights,0,0,1,0.003585528855257044,1.1460047973586783e-4
DOM,4734,2006,Human rights,0,0,1,0.003597458182075796,1.1498176423574027e-4
DZA,4734,2006,Human rights,0,0,1,0.003588033244804226,1.1468052489939558e-4
ECU,4734,2006,Human rights,0,0,1,0.0035829844910024726,1.145191569029002e-4
EGY,4734,2006,Human rights,0,0,1,0.0035912602219606658,1.1478366536908737e-4
ESP,4734,2006,Human rights,0,0,1,0.003595562470413323,1.1492117360190902e-4
EST,4734,2006,Human rights,0,0,1,0.003594490522240174,1.148869120522593e-4
FIN,4734,2006,Human rights,0,0,1,0.0035912602219606658,1.1478366536908737e-4
FJI,4734,2006,Human rights,0,0,1,0.0035231861040961607,1.126078840883343e-4
FRA,4734,2006,Human rights,0,0,1,0.0035912602219606658,1.1478366536908737e-4
GAB,4734,2006,Human rights,0,0,1,0.003641312662616812,1.1638343877566179e-4
GBR,4734,2006,Human rights,0,0,1,0.0035985045710395314,1.1501520886331832e-4
GEO,4734,2006,Human rights,0,0,1,0.003579793295982421,1.1441716009992023e-4
GHA,4734,2006,Human rights,0,0,1,0.003522002597606674,1.1257005691779937e-4
GIN,4734,2006,Human rights,0,0,1,0.0035677668410717244,1.1403277119721572e-4
GRC,4734,2006,Human rights,0,0,1,0.003592033509446911,1.1480838114198305e-4
GTM,4734,2006,Human rights,0,0,1,0.0035838958565034664,1.1454828591785024e-4
GUY,4734,2006,Human rights,0,0,1,0.0035829220242080276,1.1451716034258791e-4
HRV,4734,2006,Human rights,0,0,1,0.003584794205704776,1.1457699890653236e-4
HTI,4734,2006,Human rights,0,0,1,0.0035629847297290506,1.138799256126049e-4
HUN,4734,2006,Human rights,0,0,1,0.0035941891407133865,1.1487727931216777e-4
IND,4734,2006,Human rights,0,0,1,0.0035914716303585936,1.1479042239289077e-4
IRL,4734,2006,Human rights,0,0,1,0.0035912602219606658,1.1478366536908737e-4
ISL,4734,2006,Human rights,0,0,1,0.003585528855257044,1.1460047973586783e-4
ISR,4734,2006,Human rights,0,0,1,0.0035834974448353497,1.1453555190561893e-4
ITA,4734,2006,Human rights,0,0,1,0.003589535348938978,1.1472853507067154e-4
JOR,4734,2006,Human rights,0,0,1,0.0035952913189632,1.1491250707389611e-4
KEN,4734,2006,Human rights,0,0,1,0.0035429971829578945,1.1324108472157171e-4
KWT,4734,2006,Human rights,0,0,1,0.003568649230623376,1.1406097408443692e-4
LBN,4734,2006,Human rights,0,0,1,0.00354930574634239,1.1344271868395004e-4
LBY,4734,2006,Human rights,0,0,1,0.0036037007282667373,1.1518128816014163e-4
LKA,4734,2006,Human rights,0,0,1,0.0036031972990828273,1.1516519758373907e-4
LTU,4734,2006,Human rights,0,0,1,0.0035912602219606658,1.1478366536908737e-4
LVA,4734,2006,Human rights,0,0,1,0.0035898901871523536,1.1473987639049438e-4
MAR,4734,2006,Human rights,0,0,1,0.003582140450235128,1.1449217971745306e-4
MDA,4734,2006,Human rights,0,0,1,0.003559621450535986,1.1377242866457566e-4
MDG,4734,2006,Human rights,0,0,1,0.0034900782286600273,1.1154969196070623e-4
MDV,4734,2006,Human rights,0,0,1,0.0035989581767323494,1.1502970698398793e-4
MEX,4734,2006,Human rights,0,0,1,0.003583871149423639,1.1454749623149841e-4
MUS,4734,2006,Human rights,0,0,1,0.003597363712199391,1.1497874479464982e-4
MWI,4734,2006,Human rights,0,0,1,0.0035924994242009277,1.1482327268420228e-4
NAM,4734,2006,Human rights,0,0,1,0.003672046397615985,1.1736574875479253e-4
NGA,4734,2006,Human rights,0,0,1,0.0035703809803829013,1.1411632417677633e-4
NIC,4734,2006,Human rights,0,0,1,0.0035513515242923356,1.1350810572836138e-4
NLD,4734,2006,Human rights,0,0,1,0.003585528855257044,1.1460047973586783e-4
NOR,4734,2006,Human rights,0,0,1,0.003586963514198506,1.1464633422751634e-4
PAK,4734,2006,Human rights,0,0,1,0.0035869822725305735,1.1464693378031337e-4
PAN,4734,2006,Human rights,0,0,1,0.0035674879681107463,1.1402385787468965e-4
PNG,4734,2006,Human rights,0,0,1,0.003548020569284439,1.1340164192419373e-4
POL,4734,2006,Human rights,0,0,1,0.0035885876503504006,1.146982447795373e-4
PRT,4734,2006,Human rights,0,0,1,0.0035912602219606658,1.1478366536908737e-4
PRY,4734,2006,Human rights,0,0,1,0.0035870598403475455,1.1464941299869254e-4
QAT,4734,2006,Human rights,0,0,1,0.00358879236474475,1.1470478784995963e-4
ROU,4734,2006,Human rights,0,0,1,0.0035976167835997034,1.1498683344908657e-4
RWA,4734,2006,Human rights,0,0,1,0.003710806326586699,1.1860459151241234e-4
SEN,4734,2006,Human rights,0,0,1,0.0035843390068267655,1.1456244986456363e-4
SGP,4734,2006,Human rights,0,0,1,0.0035912602219606658,1.1478366536908737e-4
SLV,4734,2006,Human rights,0,0,1,0.003566871342008899,1.1400414930450599e-4
SUR,4734,2006,Human rights,0,0,1,0.003547235028778429,1.1337653452094172e-4
SVK,4734,2006,Human rights,0,0,1,0.0035860141554848375,1.1461599087555354e-4
SVN,4734,2006,Human rights,0,0,1,0.003585528855257044,1.1460047973586783e-4
SWE,4734,2006,Human rights,0,0,1,0.0035944556830224622,1.1488579852306331e-4
SWZ,4734,2006,Human rights,0,0,1,0.0036537073230781536,1.167795962443014e-4
TGO,4734,2006,Human rights,0,0,1,0.003528025839349657,1.1276257144527246e-4
TTO,4734,2006,Human rights,0,0,1,0.0035870681828203653,1.1464967964035851e-4
TUN,4734,2006,Human rights,0,0,1,0.0036060354062286987,1.1525590901114308e-4
TUR,4734,2006,Human rights,0,0,1,0.0035674870541543566,1.1402382866286485e-4
UGA,4734,2006,Human rights,0,0,1,0.003547748002026164,0.00011339293014419709
UKR,4734,2006,Human rights,0,0,1,0.003604440802097268,1.1520494235996613e-4
VEN,4734,2006,Human rights,0,0,1,0.0035816419034538326,1.1447624519213932e-4
ALB,4735,2006,Human rights,0,0,1,0.0034861183270954586,1.1142312580064285e-4
ARE,4735,2006,Human rights,0,0,1,0.0035229948957976034,1.1260177269901664e-4
ARG,4735,2006,Human rights,0,0,1,0.0035084561123015136,1.1213708488567359e-4
AUT,4735,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
AZE,4735,2006,Human rights,0,0,1,0.0035287381054302184,1.1278533685529343e-4
BGD,4735,2006,Human rights,0,0,1,0.0035199630395869224,1.1250486867446116e-4
BGR,4735,2006,Human rights,0,0,1,0.0035481289443485106,1.1340510580214183e-4
BHR,4735,2006,Human rights,0,0,1,0.0035059456881563218,1.1205684684464997e-4
BLR,4735,2006,Human rights,0,0,1,0.0035137363869063246,1.1230585273757953e-4
BOL,4735,2006,Human rights,0,0,1,0.003544312198067308,1.1328311516351831e-4
BRA,4735,2006,Human rights,1,0,1,-0.32603805657499485,-0.010420810765715011
BRB,4735,2006,Human rights,0,0,1,0.003490644545983404,1.1156779256442793e-4
BTN,4735,2006,Human rights,0,0,1,0.003450109029387193,1.1027219857096278e-4
BWA,4735,2006,Human rights,0,0,1,0.0034009213929905475,1.0870006599145105e-4
CAN,4735,2006,Human rights,0,0,1,0.0035090420330112556,1.1215581205177217e-4
CIV,4735,2006,Human rights,0,0,1,0.003363145021325246,1.0749265963933744e-4
COL,4735,2006,Human rights,0,0,1,0.0035005755965868035,1.1188520826776611e-4
COM,4735,2006,Human rights,0,0,1,0.0034923276819621572,1.1162158886573031e-4
CPV,4735,2006,Human rights,0,0,1,0.003525065158080508,1.1266794231035642e-4
CRI,4735,2006,Human rights,0,0,1,0.00350500783289934,1.1202687116554887e-4
CYP,4735,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
CZE,4735,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
DEU,4735,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
DNK,4735,2006,Human rights,0,0,1,0.0035090420330112556,1.1215581205177217e-4
DOM,4735,2006,Human rights,0,0,1,0.0035209713598300073,1.125370965516446e-4
DZA,4735,2006,Human rights,0,0,1,0.003511546422558437,1.122358572152999e-4
ECU,4735,2006,Human rights,0,0,1,0.0035064976687566836,1.1207448921880452e-4
EGY,4735,2006,Human rights,0,0,1,0.0035147733997148776,1.1233899768499172e-4
