iso3c,rcid,year,issue_domain,brazil,post_2009,human_rights_binary,brazil_hr,brazil_post_2009,brazil_post_hr,distance_china_minus_usa,agreement_china_minus_usa,observation_weight
BLR,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BRA,4595,2005,Non-human rights,1,0,0,0,0,0,-2,1,1
BRB,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CAN,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
COL,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
COM,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CRI,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CYP,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CZE,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
DEU,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
DNK,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
DOM,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
DZA,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ECU,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
EGY,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ESP,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
EST,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
FIN,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
FRA,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GBR,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GEO,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GHA,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GIN,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GRC,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GTM,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GUY,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
HRV,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
HUN,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
IND,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
IRL,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ISL,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ITA,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
JAM,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
JOR,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
KWT,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
LBY,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
LKA,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
LTU,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
LVA,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MAR,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MDV,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MEX,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MUS,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MWI,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
NAM,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
NGA,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
NLD,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
NOR,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
PAK,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
PAN,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
POL,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
PRT,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
