model_id,country_id,iso3c,country_name,factor,loading
full_switching,100,MLT,Malta,factor_1,-0.10544178452584686
full_switching,101,MMR,Myanmar (Burma),factor_1,0.31701647697831503
full_switching,103,MOZ,Mozambique,factor_1,0.12348430920785437
full_switching,104,MUS,Mauritius,factor_1,-0.04658345796530904
full_switching,105,MWI,Malawi,factor_1,-0.10345051759932901
full_switching,106,MYS,Malaysia,factor_1,0.2188770190320351
full_switching,107,NAM,Namibia,factor_1,0.17395203849374588
full_switching,108,NGA,Nigeria,factor_1,0.12648481230786637
full_switching,109,NIC,Nicaragua,factor_1,0.22524547107099274
full_switching,110,NLD,Netherlands,factor_1,-0.16184794099203723
full_switching,111,NOR,Norway,factor_1,-0.1680304488594912
full_switching,112,NPL,Nepal,factor_1,0.09463725290203936
full_switching,113,NZL,New Zealand,factor_1,-0.07985776571803148
full_switching,114,OMN,Oman,factor_1,0.2728355880744855
full_switching,115,PAK,Pakistan,factor_1,0.05892224663443075
full_switching,116,PAN,Panama,factor_1,-0.06653678024164279
full_switching,117,PER,Peru,factor_1,-0.07387358482032838
full_switching,118,PHL,Philippines,factor_1,0.13698660286997927
full_switching,119,PNG,Papua New Guinea,factor_1,-0.11153621096642287
full_switching,120,POL,Poland,factor_1,-0.13242345865343758
full_switching,121,PRK,North Korea,factor_1,0.08985983798500742
full_switching,122,PRT,Portugal,factor_1,-0.16166077449782235
full_switching,123,PRY,Paraguay,factor_1,-0.10725066859872134
full_switching,124,QAT,Qatar,factor_1,0.1898488448459251
full_switching,125,ROU,Romania,factor_1,-0.12298666256659097
full_switching,126,RUS,Russia,factor_1,-0.1602685631430889
full_switching,127,RWA,Rwanda,factor_1,-0.11286528606498393
full_switching,128,SAU,Saudi Arabia,factor_1,0.13007515783992815
full_switching,129,SDN,Sudan,factor_1,0.30119093777449424
full_switching,130,SEN,Senegal,factor_1,0.06475961080087132
full_switching,131,SGP,Singapore,factor_1,-0.015059702668131095
full_switching,132,SLB,Solomon Islands,factor_1,-0.16701134239587082
full_switching,133,SLE,Sierra Leone,factor_1,-0.02525199233521304
full_switching,134,SLV,El Salvador,factor_1,-0.12434836194678417
full_switching,135,SUR,Suriname,factor_1,0.06342490276400853
full_switching,136,SVK,Slovakia,factor_1,-0.1270591001770713
full_switching,137,SVN,Slovenia,factor_1,-0.12062471351113492
full_switching,138,SWE,Sweden,factor_1,-0.20140475998298174
full_switching,139,SWZ,Eswatini,factor_1,0.028346371019657337
full_switching,140,SYR,Syria,factor_1,0.4297269657604784
full_switching,141,TCD,Chad,factor_1,0.07067745191649573
full_switching,142,TGO,Togo,factor_1,0.07762982650693394
full_switching,143,THA,Thailand,factor_1,-0.058775319495433326
full_switching,144,TKM,Turkmenistan,factor_1,0.009401989675660877
full_switching,145,TTO,Trinidad & Tobago,factor_1,0.015991051769485003
full_switching,146,TUN,Tunisia,factor_1,0.13722518808765888
full_switching,147,TUR,Turkey,factor_1,-0.10161415406903554
full_switching,148,TZA,Tanzania,factor_1,0.13837393937231302
full_switching,149,UGA,Uganda,factor_1,0.20937685498230385
full_switching,150,UKR,Ukraine,factor_1,0.002742836296333433
full_switching,151,URY,Uruguay,factor_1,-0.12919726317491184
full_switching,152,USA,United States,factor_1,-0.17357878630921586
full_switching,153,VCT,St. Vincent & Grenadines,factor_1,-0.022914009352108446
full_switching,154,VNM,Vietnam,factor_1,0.18342338671147138
full_switching,155,WSM,Samoa,factor_1,-0.21497716312215817
full_switching,156,YEM,Yemen,factor_1,0.12036042765069696
full_switching,157,ZAF,South Africa,factor_1,-0.10083964328675396
full_switching,158,ZMB,Zambia,factor_1,0.03456918428023602
full_switching,159,ZWE,Zimbabwe,factor_1,0.3417364927334771
