iso3c,country_name,original_year,m2_full_year,original_ever,m2_full_ever,status_original,status_m2_full,change_type
SLB,Solomon Islands,2003,2003,TRUE,TRUE,observed_entry,observed_entry,no_change
SOM,Somalia,,,FALSE,FALSE,never_observed,never_observed,no_change
KOR,South Korea,2003,2003,TRUE,TRUE,observed_entry,observed_entry,no_change
SSD,South Sudan,2012,2012,TRUE,TRUE,left_censored_first_observed,left_censored_first_observed,no_change
ESP,Spain,,,FALSE,FALSE,never_observed,never_observed,no_change
LKA,Sri Lanka,,,FALSE,FALSE,never_observed,never_observed,no_change
KNA,St. Kitts & Nevis,,,FALSE,FALSE,never_observed,never_observed,no_change
LCA,St. Lucia,,,FALSE,FALSE,never_observed,never_observed,no_change
VCT,St. Vincent & Grenadines,,,FALSE,FALSE,never_observed,never_observed,no_change
SDN,Sudan,1990,1990,TRUE,TRUE,left_censored_first_observed,left_censored_first_observed,no_change
SUR,Suriname,,,FALSE,FALSE,never_observed,never_observed,no_change
SWE,Sweden,,,FALSE,FALSE,never_observed,never_observed,no_change
CHE,Switzerland,,,FALSE,FALSE,never_observed,never_observed,no_change
SYR,Syria,,,FALSE,FALSE,never_observed,never_observed,no_change
STP,São Tomé & Príncipe,,,FALSE,FALSE,never_observed,never_observed,no_change
TJK,Tajikistan,,,FALSE,FALSE,never_observed,never_observed,no_change
TZA,Tanzania,2011,2011,TRUE,TRUE,observed_entry,observed_entry,no_change
TLS,Timor-Leste,2021,2021,TRUE,TRUE,observed_entry,observed_entry,no_change
TGO,Togo,,,FALSE,FALSE,never_observed,never_observed,no_change
TON,Tonga,,,FALSE,FALSE,never_observed,never_observed,no_change
TTO,Trinidad & Tobago,,,FALSE,FALSE,never_observed,never_observed,no_change
TUN,Tunisia,,,FALSE,FALSE,never_observed,never_observed,no_change
TUR,Turkey,,,FALSE,FALSE,never_observed,never_observed,no_change
TKM,Turkmenistan,2010,2010,TRUE,TRUE,observed_entry,observed_entry,no_change
TUV,Tuvalu,,,FALSE,FALSE,never_observed,never_observed,no_change
UGA,Uganda,,,FALSE,FALSE,never_observed,never_observed,no_change
UKR,Ukraine,1993,1993,TRUE,TRUE,observed_entry,observed_entry,no_change
ARE,United Arab Emirates,,,FALSE,FALSE,never_observed,never_observed,no_change
GBR,United Kingdom,,,FALSE,FALSE,never_observed,never_observed,no_change
USA,United States,,,FALSE,FALSE,never_observed,never_observed,no_change
URY,Uruguay,2013,2013,TRUE,TRUE,observed_entry,observed_entry,no_change
UZB,Uzbekistan,2013,2013,TRUE,TRUE,observed_entry,observed_entry,no_change
VUT,Vanuatu,,,FALSE,FALSE,never_observed,never_observed,no_change
VEN,Venezuela,2021,2021,TRUE,TRUE,observed_entry,observed_entry,no_change
VNM,Vietnam,2018,2018,TRUE,TRUE,observed_entry,observed_entry,no_change
YEM,Yemen,1993,1993,TRUE,TRUE,observed_entry,observed_entry,no_change
ZMB,Zambia,2012,2012,TRUE,TRUE,observed_entry,observed_entry,no_change
ZWE,Zimbabwe,2011,2011,TRUE,TRUE,observed_entry,observed_entry,no_change
CSK,,,,FALSE,FALSE,never_observed,never_observed,no_change
YUG,,,,FALSE,FALSE,never_observed,never_observed,no_change
SGP,Singapore,2013,,TRUE,FALSE,observed_entry,never_observed,original_treated_m2_full_never
